sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
E10A	90164	65817	73	65632	65344	72.47	62818	69.67
E10B	62500	40767	65.23	40625	40297	64.48	37757	60.41
E10C	92003	62631	68.07	62439	61770	67.14	59014	64.14
E11A	78819	44992	57.08	44015	43238	54.86	41057	52.09
E11B	87696	59599	67.96	59380	58826	67.08	53706	61.24
E11C	95594	61757	64.6	61312	60447	63.23	56047	58.63
E12A	66702	48783	73.14	48694	48420	72.59	44098	66.11
E12B	99901	72999	73.07	72837	72294	72.37	65216	65.28
E12C	146858	107675	73.32	107441	106518	72.53	95128	64.78
E14A	130829	91898	70.24	91528	91092	69.63	86759	66.31
E14B	84586	61538	72.75	61389	61191	72.34	58608	69.29
E14D	80001	55020	68.77	54655	54372	67.96	52722	65.9
E15A	55934	34942	62.47	34714	34453	61.6	31752	56.77
E15C	90660	58070	64.05	57787	57223	63.12	48931	53.97
E15D	91524	59707	65.24	59374	58494	63.91	49453	54.03
E17A	74993	42305	56.41	41752	40839	54.46	37261	49.69
E17B	39698	23752	59.83	23446	23201	58.44	22218	55.97
E17C	52394	29486	56.28	29071	28558	54.51	25768	49.18
E17D	18688	10165	54.39	10031	9926	53.11	9460	50.62
E19A	62548	40839	65.29	40611	40353	64.52	38750	61.95
E19B	96491	61504	63.74	61173	60766	62.98	57129	59.21
E19C	109705	65736	59.92	65069	64211	58.53	60908	55.52
E19D	46879	27089	57.78	26887	26731	57.02	25082	53.5
E20A	86810	59622	68.68	59468	59081	68.06	56426	65
E20B	107416	76359	71.09	76123	75562	70.35	71529	66.59
E20C	138402	100603	72.69	100408	100047	72.29	96368	69.63
E22A	101194	68481	67.67	68254	67591	66.79	64010	63.25
E22B	144055	104462	72.52	104299	103715	72	97111	67.41
E22D	78502	54069	68.88	53952	53599	68.28	50016	63.71
E23B	86891	53703	61.81	53464	53151	61.17	50395	58
E23C	93865	67257	71.65	67171	66668	71.03	63808	67.98
E23D	154959	111654	72.05	111425	110555	71.34	105925	68.36
E24A	135722	83311	61.38	82835	82011	60.43	75252	55.45
E24B	75745	41582	54.9	41340	40999	54.13	35610	47.01
E24C	86781	60858	70.13	60719	60340	69.53	54909	63.27
E6A	127636	88666	69.47	88235	87811	68.8	84314	66.06
E6B	69684	48766	69.98	48403	48095	69.02	46311	66.46
E6D	52666	30567	58.04	30352	30181	57.31	27016	51.3
L10A	77831	55548	71.37	55461	54626	70.19	50012	64.26
L10B	97025	67769	69.85	67669	66536	68.58	59704	61.53
L10C	147240	102510	69.62	102219	100226	68.07	88670	60.22
L10D	91473	65018	71.08	64840	63661	69.6	56646	61.93
L11A	90428	57498	63.58	57366	56514	62.5	52296	57.83
L11B	137382	97868	71.24	97742	96438	70.2	82578	60.11
L11C	137500	98136	71.37	97961	96714	70.34	85734	62.35
L11D	104055	73124	70.27	72913	72278	69.46	65658	63.1
L12A	144574	101238	70.03	101114	100319	69.39	89723	62.06
L12B	111882	80357	71.82	80269	79562	71.11	74161	66.29
L12C	128798	91716	71.21	91557	90537	70.29	83164	64.57
L12D	86194	59069	68.53	58850	58167	67.48	54174	62.85
L14A	117793	85651	72.71	85464	84701	71.91	79820	67.76
L14B	85586	59939	70.03	59753	59031	68.97	54926	64.18
L14C	113203	78751	69.57	78625	77644	68.59	72977	64.47
L14D	90326	65229	72.22	65116	64527	71.44	61415	67.99
L15A	102407	70023	68.38	69776	69369	67.74	66635	65.07
L15B	104089	65130	62.57	64926	64479	61.95	59430	57.1
L15C	146321	104718	71.57	104580	103971	71.06	99948	68.31
L17A	110582	78892	71.34	78716	77506	70.09	68680	62.11
L17B	109557	77304	70.56	77159	75868	69.25	67555	61.66
L17C	98384	70541	71.7	70434	69683	70.83	63725	64.77
L17D	117175	84569	72.17	84452	83441	71.21	76201	65.03
L19A	129456	89734	69.32	89597	87865	67.87	77867	60.15
L19B	90405	65001	71.9	64871	63757	70.52	57590	63.7
L19C	99903	70228	70.3	70106	68881	68.95	62595	62.66
L19D	119597	84433	70.6	84324	82781	69.22	75573	63.19
L20A	94262	67600	71.72	67512	66745	70.81	62870	66.7
L20B	120645	86658	71.83	86435	85274	70.68	79901	66.23
L20CD	97497	63564	65.2	63339	62759	64.37	58712	60.22
L22A	127934	93600	73.16	93487	92713	72.47	87332	68.26
L22B	71259	50359	70.67	50213	49866	69.98	46709	65.55
L22C	87257	59710	68.43	59554	59202	67.85	54167	62.08
L22D	93790	68311	72.83	68192	67656	72.14	63295	67.49
L23A	119613	88632	74.1	88526	88036	73.6	83538	69.84
L23D	98685	69535	70.46	69415	68885	69.8	65192	66.06
L24A	113095	83893	74.18	83787	83243	73.6	79342	70.16
L24B	86161	62204	72.2	62108	61673	71.58	58718	68.15
L6A	104665	73312	70.04	73163	72005	68.8	63995	61.14
L6B	83669	59598	71.23	59473	58569	70	51926	62.06
L6C	121031	86000	71.06	85876	84826	70.09	78804	65.11
L6D	88905	60064	67.56	59965	59291	66.69	56220	63.24
