Coverage	Frequency	Reads
1	6576	6576
2	1514	9604
3	595	11389
4	364	12845
5	259	14140
6	202	15352
7	218	16878
8	179	18310
9	183	19957
10	173	21687
11	143	23260
12	125	24760
13	140	26580
14	118	28232
15	122	30062
16	106	31758
17	140	34138
18	104	36010
19	120	38290
20	120	40690
21	115	43105
22	104	45393
23	87	47394
24	107	49962
25	105	52587
26	100	55187
27	105	58022
28	110	61102
29	110	64292
30	113	67682
31	91	70503
32	100	73703
33	111	77366
34	100	80766
35	93	84021
36	106	87837
37	72	90501
38	105	94491
39	103	98508
40	88	102028
41	89	105677
42	92	109541
43	96	113669
44	98	117981
45	79	121536
46	95	125906
47	71	129243
48	80	133083
49	90	137493
50	74	141193
51	82	145375
52	82	149639
53	74	153561
54	68	157233
55	85	161908
56	72	165940
57	75	170215
58	61	173753
59	85	178768
60	68	182848
61	97	188765
62	67	192919
63	73	197518
64	70	201998
65	89	207783
66	75	212733
67	73	217624
68	75	222724
69	82	228382
70	71	233352
71	60	237612
72	65	242292
73	71	247475
74	65	252285
75	73	257760
76	73	263308
77	73	268929
78	54	273141
79	78	279303
80	58	283943
81	60	288803
82	74	294871
83	69	300598
84	67	306226
85	66	311836
86	55	316566
87	61	321873
88	74	328385
89	48	332657
90	59	337967
91	64	343791
92	53	348667
93	64	354619
94	72	361387
95	64	367467
96	52	372459
97	60	378279
98	69	385041
99	59	390882
100	54	396282
101	62	402544
102	55	408154
103	62	414540
104	60	420780
105	70	428130
106	63	434808
107	49	440051
108	52	445667
109	58	451989
110	55	458039
111	44	462923
112	52	468747
113	42	473493
114	66	481017
115	61	488032
116	52	494064
117	50	499914
118	52	506050
119	54	512476
120	47	518116
121	48	523924
122	50	530024
123	54	536666
124	54	543362
125	67	551737
126	43	557155
127	60	564775
128	60	572455
129	53	579292
130	47	585402
131	58	593000
132	57	600524
133	49	607041
134	54	614277
135	44	620217
136	33	624705
137	38	629911
138	71	639709
139	62	648327
140	48	655047
141	48	661815
142	44	668063
143	40	673783
144	36	678967
145	53	686652
146	42	692784
147	42	698958
148	42	705174
149	52	712922
150	35	718172
151	45	724967
152	48	732263
153	38	738077
154	46	745161
155	41	751516
156	44	758380
157	44	765288
158	67	775874
159	43	782711
160	39	788951
161	49	796840
162	42	803644
163	54	812446
164	53	821138
165	35	826913
166	44	834217
167	37	840396
168	43	847620
169	46	855394
170	43	862704
171	51	871425
172	49	879853
173	37	886254
174	51	895128
175	52	904228
176	52	913380
177	47	921699
178	47	930065
179	43	937762
180	41	945142
181	32	950934
182	35	957304
183	44	965356
184	38	972348
185	37	979193
186	45	987563
187	33	993734
188	41	1001442
189	52	1011270
190	41	1019060
191	54	1029374
192	32	1035518
193	42	1043624
194	38	1050996
195	35	1057821
196	36	1064877
197	50	1074727
198	43	1083241
199	44	1091997
200	46	1101197
201	44	1110041
202	46	1119333
203	39	1127250
204	48	1137042
205	46	1146472
206	32	1153064
207	37	1160723
208	38	1168627
209	42	1177405
210	40	1185805
211	36	1193401
212	40	1201881
213	39	1210188
214	41	1218962
215	35	1226487
216	41	1235343
217	40	1244023
218	39	1252525
219	34	1259971
220	29	1266351
221	35	1274086
222	39	1282744
223	29	1289211
224	36	1297275
225	29	1303800
226	41	1313066
227	43	1322827
228	32	1330123
229	42	1339741
230	33	1347331
231	32	1354723
232	26	1360755
233	31	1367978
234	28	1374530
235	41	1384165
236	38	1393133
237	26	1399295
238	41	1409053
239	40	1418613
240	32	1426293
241	30	1433523
242	40	1443203
243	27	1449764
244	43	1460256
245	38	1469566
246	33	1477684
247	33	1485835
248	38	1495259
249	36	1504223
250	23	1509973
251	36	1519009
252	33	1527325
253	38	1536939
254	30	1544559
255	27	1551444
256	33	1559892
257	35	1568887
258	39	1578949
259	38	1588791
260	30	1596591
261	38	1606509
262	22	1612273
263	30	1620163
264	23	1626235
265	31	1634450
266	39	1644824
267	32	1653368
268	29	1661140
269	37	1671093
270	37	1681083
271	36	1690839
272	21	1696551
273	29	1704468
274	26	1711592
275	27	1719017
276	28	1726745
277	31	1735332
278	43	1747286
279	37	1757609
280	34	1767129
281	26	1774435
282	27	1782049
283	24	1788841
284	28	1796793
285	27	1804488
286	30	1813068
287	38	1823974
288	37	1834630
289	33	1844167
290	26	1851707
291	34	1861601
292	27	1869485
293	27	1877396
294	23	1884158
295	26	1891828
296	24	1898932
297	20	1904872
298	24	1912024
299	20	1918004
300	22	1924604
301	25	1932129
302	23	1939075
303	22	1945741
304	25	1953341
305	23	1960356
306	24	1967700
307	22	1974454
308	33	1984618
309	30	1993888
310	20	2000088
311	21	2006619
312	26	2014731
313	29	2023808
314	14	2028204
315	15	2032929
316	16	2037985
317	19	2044008
318	29	2053230
319	23	2060567
320	30	2070167
321	21	2076908
322	23	2084314
323	23	2091743
324	18	2097575
325	34	2108625
326	17	2114167
327	29	2123650
328	22	2130866
329	23	2138433
330	11	2142063
331	20	2148683
332	19	2154991
333	21	2161984
334	14	2166660
335	21	2173695
336	15	2178735
337	14	2183453
338	16	2188861
339	21	2195980
340	9	2199040
341	20	2205860
342	20	2212700
343	18	2218874
344	23	2226786
345	23	2234721
346	8	2237489
347	19	2244082
348	17	2249998
349	26	2259072
350	10	2262572
351	10	2266082
352	18	2272418
353	9	2275595
354	10	2279135
355	11	2283040
356	11	2286956
357	14	2291954
358	15	2297324
359	18	2303786
360	13	2308466
361	12	2312798
362	10	2316418
363	12	2320774
364	15	2326234
365	9	2329519
366	14	2334643
367	9	2337946
368	12	2342362
369	9	2345683
370	10	2349383
371	11	2353464
372	13	2358300
373	13	2363149
374	6	2365393
375	9	2368768
376	13	2373656
377	8	2376672
378	11	2380830
379	12	2385378
380	13	2390318
381	10	2394128
382	11	2398330
383	11	2402543
384	6	2404847
385	6	2407157
386	7	2409859
387	10	2413729
388	11	2417997
389	14	2423443
390	7	2426173
391	12	2430865
392	8	2434001
393	7	2436752
394	7	2439510
395	7	2442275
396	9	2445839
397	12	2450603
398	9	2454185
399	5	2456180
400	6	2458580
401	4	2460184
402	10	2464204
403	6	2466622
404	14	2472278
405	11	2476733
406	4	2478357
407	5	2480392
408	9	2484064
409	7	2486927
410	4	2488567
411	5	2490622
412	5	2492682
413	9	2496399
414	3	2497641
415	10	2501791
416	5	2503871
417	10	2508041
418	6	2510549
419	12	2515577
420	6	2518097
421	8	2521465
422	6	2523997
423	11	2528650
424	6	2531194
425	4	2532894
426	10	2537154
427	2	2538008
428	8	2541432
429	6	2544006
430	6	2546586
431	6	2549172
432	4	2550900
433	6	2553498
434	6	2556102
435	6	2558712
436	6	2561328
437	8	2564824
438	9	2568766
439	5	2570961
440	3	2572281
441	4	2574045
442	4	2575813
443	3	2577142
444	5	2579362
445	2	2580252
446	6	2582928
447	6	2585610
448	3	2586954
449	8	2590546
450	5	2592796
451	5	2595051
452	5	2597311
453	4	2599123
454	6	2601847
455	5	2604122
456	5	2606402
457	4	2608230
458	3	2609604
459	11	2614653
460	4	2616493
461	6	2619259
462	8	2622955
463	4	2624807
464	6	2627591
465	5	2629916
466	7	2633178
467	3	2634579
468	3	2635983
469	2	2636921
470	4	2638801
471	2	2639743
472	1	2640215
473	2	2641161
474	5	2643531
475	3	2644956
476	4	2646860
477	3	2648291
478	4	2650203
480	6	2653083
481	4	2655007
482	3	2656453
483	5	2658868
484	5	2661288
485	3	2662743
486	7	2666145
487	4	2668093
488	4	2670045
489	1	2670534
490	3	2672004
491	3	2673477
492	8	2677413
493	3	2678892
494	3	2680374
495	3	2681859
496	2	2682851
497	2	2683845
498	3	2685339
499	1	2685838
500	1	2686338
501	4	2688342
502	3	2689848
503	3	2691357
504	5	2693877
505	1	2694382
506	1	2694888
507	3	2696409
508	1	2696917
509	1	2697426
510	3	2698956
511	4	2701000
512	3	2702536
513	1	2703049
514	2	2704077
515	2	2705107
516	2	2706139
517	5	2708724
518	3	2710278
519	1	2710797
520	1	2711317
521	3	2712880
522	1	2713402
523	1	2713925
524	2	2714973
525	4	2717073
526	1	2717599
527	2	2718653
528	4	2720765
529	4	2722881
530	2	2723941
531	3	2725534
532	5	2728194
533	2	2729260
534	3	2730862
535	2	2731932
536	3	2733540
537	4	2735688
538	3	2737302
539	2	2738380
540	4	2740540
541	4	2742704
542	2	2743788
544	2	2744876
546	3	2746514
547	2	2747608
548	2	2748704
549	3	2750351
550	4	2752551
551	3	2754204
552	3	2755860
553	8	2760284
554	5	2763054
555	2	2764164
558	1	2764722
559	3	2766399
