Coverage	Frequency	Reads
1	6668	6668
2	3423	13514
3	1917	19265
4	1311	24509
5	844	28729
6	680	32809
7	482	36183
8	438	39687
9	376	43071
10	302	46091
11	296	49347
12	258	52443
13	258	55797
14	202	58625
15	179	61310
16	157	63822
17	162	66576
18	153	69330
19	165	72465
20	141	75285
21	117	77742
22	134	80690
23	119	83427
24	130	86547
25	119	89522
26	111	92408
27	97	95027
28	105	97967
29	104	100983
30	79	103353
31	97	106360
32	99	109528
33	92	112564
34	103	116066
35	81	118901
36	71	121457
37	77	124306
38	74	127118
39	92	130706
40	76	133746
41	71	136657
42	64	139345
43	74	142527
44	79	146003
45	80	149603
46	61	152409
47	82	156263
48	53	158807
49	51	161306
50	70	164806
51	75	168631
52	73	172427
53	63	175766
54	71	179600
55	72	183560
56	65	187200
57	62	190734
58	58	194098
59	56	197402
60	63	201182
61	63	205025
62	56	208497
63	58	212151
64	53	215543
65	48	218663
66	50	221963
67	40	224643
68	64	228995
69	46	232169
70	59	236299
71	55	240204
72	41	243156
73	61	247609
74	58	251901
75	41	254976
76	46	258472
77	44	261860
78	43	265214
79	43	268611
80	48	272451
81	45	276096
82	41	279458
83	57	284189
84	52	288557
85	54	293147
86	42	296759
87	52	301283
88	41	304891
89	42	308629
90	44	312589
91	46	316775
92	49	321283
93	28	323887
94	37	327365
95	34	330595
96	39	334339
97	40	338219
98	32	341355
99	48	346107
100	35	349607
101	36	353243
102	39	357221
103	27	360002
104	42	364370
105	28	367310
106	32	370702
107	36	374554
108	33	378118
109	43	382805
110	34	386545
111	34	390319
112	42	395023
113	37	399204
114	35	403194
115	28	406414
116	25	409314
117	39	413877
118	33	417771
119	28	421103
120	31	424823
121	27	428090
122	35	432360
123	45	437895
124	39	442731
125	55	449606
126	31	453512
127	38	458338
128	32	462434
129	27	465917
130	20	468517
131	33	472840
132	30	476800
133	36	481588
134	25	484938
135	28	488718
136	30	492798
137	23	495949
138	36	500917
139	32	505365
140	33	509985
141	29	514074
142	32	518618
143	38	524052
144	33	528804
145	27	532719
146	24	536223
147	30	540633
148	26	544481
149	31	549100
150	31	553750
151	27	557827
152	31	562539
153	31	567282
154	24	570978
155	26	575008
156	31	579844
157	33	585025
158	27	589291
159	23	592948
160	34	598388
161	23	602091
162	24	605979
163	25	610054
164	25	614154
165	26	618444
166	37	624586
167	27	629095
168	30	634135
169	28	638867
170	30	643967
171	26	648413
172	16	651165
173	28	656009
174	21	659663
175	25	664038
176	23	668086
177	29	673219
178	14	675711
179	24	680007
180	26	684687
181	20	688307
182	30	693767
183	27	698708
184	27	703676
185	20	707376
186	20	711096
187	33	717267
188	19	720839
189	19	724430
190	21	728420
191	26	733386
192	28	738762
193	22	743008
194	28	748440
195	21	752535
196	21	756651
197	29	762364
198	26	767512
199	24	772288
200	35	779288
201	22	783710
202	24	788558
203	21	792821
204	25	797921
205	22	802431
206	17	805933
207	18	809659
208	25	814859
209	22	819457
210	22	824077
211	26	829563
212	14	832531
213	21	837004
214	15	840214
215	15	843439
216	21	847975
217	18	851881
218	30	858421
219	25	863896
220	27	869836
221	11	872267
222	23	877373
223	17	881164
224	19	885420
225	19	889695
226	18	893763
227	19	898076
228	26	904004
229	21	908813
230	23	914103
231	19	918492
232	24	924060
233	25	929885
234	16	933629
235	20	938329
236	13	941397
237	17	945426
238	19	949948
239	27	956401
240	25	962401
241	22	967703
242	23	973269
243	20	978129
244	20	983009
245	20	987909
