Coverage	Frequency	Reads
432	10	1813037
433	7	1816068
434	7	1819106
435	14	1825196
436	7	1828248
437	9	1832181
438	16	1839189
439	11	1844018
440	9	1847978
441	7	1851065
442	11	1855927
443	4	1857699
444	10	1862139
445	9	1866144
446	10	1870604
447	11	1875521
448	10	1880001
449	6	1882695
450	15	1889445
451	11	1894406
452	6	1897118
453	10	1901648
454	10	1906188
455	5	1908463
456	10	1913023
457	6	1915765
458	12	1921261
459	9	1925392
460	10	1929992
461	10	1934602
462	9	1938760
463	24	1949872
464	12	1955440
465	11	1960555
466	7	1963817
467	7	1967086
468	7	1970362
469	6	1973176
470	6	1975996
471	13	1982119
472	8	1985895
473	12	1991571
474	9	1995837
475	9	2000112
476	7	2003444
477	14	2010122
478	8	2013946
479	3	2015383
480	10	2020183
481	9	2024512
482	6	2027404
483	8	2031268
484	11	2036592
485	9	2040957
486	9	2045331
487	8	2049227
488	10	2054107
489	7	2057530
490	15	2064880
491	3	2066353
492	10	2071273
493	11	2076696
494	12	2082624
495	13	2089059
496	4	2091043
497	13	2097504
498	9	2101986
499	7	2105479
500	12	2111479
501	5	2113984
502	8	2118000
503	8	2122024
504	9	2126560
505	2	2127570
506	9	2132124
507	8	2136180
508	7	2139736
509	5	2142281
510	14	2149421
511	6	2152487
512	12	2158631
513	7	2162222
514	8	2166334
515	5	2168909
516	12	2175101
517	7	2178720
518	11	2184418
519	5	2187013
520	4	2189093
521	5	2191698
522	15	2199528
523	12	2205804
524	9	2210520
525	9	2215245
526	8	2219453
527	9	2224196
528	11	2230004
529	6	2233178
530	5	2235828
531	5	2238483
532	8	2242739
533	7	2246470
534	15	2254480
535	8	2258760
536	10	2264120
537	5	2266805
538	11	2272723
539	7	2276496
540	8	2280816
541	9	2285685
542	7	2289479
543	7	2293280
544	6	2296544
545	4	2298724
546	6	2302000
547	8	2306376
548	3	2308020
549	9	2312961
550	10	2318461
551	3	2320114
552	11	2326186
553	6	2329504
554	17	2338922
555	8	2343362
556	6	2346698
557	9	2351711
558	6	2355059
559	5	2357854
560	5	2360654
561	4	2362898
562	7	2366832
563	8	2371336
564	5	2374156
565	7	2378111
566	6	2381507
567	6	2384909
568	6	2388317
569	6	2391731
570	8	2396291
571	4	2398575
572	5	2401435
573	3	2403154
574	9	2408320
575	4	2410620
576	10	2416380
577	4	2418688
578	6	2422156
579	4	2424472
580	4	2426792
581	10	2432602
582	2	2433766
583	5	2436681
584	1	2437265
585	7	2441360
586	2	2442532
587	6	2446054
588	6	2449582
589	3	2451349
590	8	2456069
591	5	2459024
592	11	2465536
593	3	2467315
594	1	2467909
595	10	2473859
596	3	2475647
597	3	2477438
598	11	2484016
599	4	2486412
600	6	2490012
601	4	2492416
602	4	2494824
603	4	2497236
604	3	2499048
605	4	2501468
606	9	2506922
607	4	2509350
608	6	2512998
609	5	2516043
610	6	2519703
611	1	2520314
612	6	2523986
613	2	2525212
614	5	2528282
615	6	2531972
616	3	2533820
617	3	2535671
618	5	2538761
619	7	2543094
620	4	2545574
621	6	2549300
622	4	2551788
623	6	2555526
624	1	2556150
625	6	2559900
626	4	2562404
627	4	2564912
628	4	2567424
629	5	2570569
630	4	2573089
631	3	2574982
632	6	2578774
633	2	2580040
634	5	2583210
635	2	2584480
636	10	2590840
637	2	2592114
638	8	2597218
639	10	2603608
640	5	2606808
641	2	2608090
642	2	2609374
643	2	2610660
644	7	2615168
645	4	2617748
646	8	2622916
647	5	2626151
648	7	2630687
649	4	2633283
650	3	2635233
651	3	2637186
652	6	2641098
653	4	2643710
654	7	2648288
655	4	2650908
656	3	2652876
657	2	2654190
658	6	2658138
659	6	2662092
660	4	2664732
661	1	2665393
662	4	2668041
663	4	2670693
664	3	2672685
665	8	2678005
666	6	2682001
667	3	2684002
668	4	2686674
669	4	2689350
670	3	2691360
671	1	2692031
672	3	2694047
673	4	2696739
674	4	2699435
675	8	2704835
676	4	2707539
677	2	2708893
678	3	2710927
679	7	2715680
680	9	2721800
681	5	2725205
682	6	2729297
683	4	2732029
684	3	2734081
685	3	2736136
686	2	2737508
687	4	2740256
688	4	2743008
689	2	2744386
690	3	2746456
691	3	2748529
692	3	2750605
693	6	2754763
694	5	2758233
695	5	2761708
696	4	2764492
697	4	2767280
698	4	2770072
699	7	2774965
700	3	2777065
701	6	2781271
702	3	2783377
703	3	2785486
704	3	2787598
705	2	2789008
706	3	2791126
707	5	2794661
708	6	2798909
709	3	2801036
710	3	2803166
711	5	2806721
712	2	2808145
713	4	2810997
714	3	2813139
715	3	2815284
716	4	2818148
717	3	2820299
718	3	2822453
719	2	2823891
720	3	2826051
721	3	2828214
722	3	2830380
723	6	2834718
725	4	2837618
726	3	2839796
727	3	2841977
728	1	2842705
729	4	2845621
730	8	2851461
731	2	2852923
732	6	2857315
733	2	2858781
734	2	2860249
735	1	2860984
736	5	2864664
737	7	2869823
738	6	2874251
739	5	2877946
740	6	2882386
741	3	2884609
742	3	2886835
743	4	2889807
744	2	2891295
745	1	2892040
746	2	2893532
747	3	2895773
748	5	2899513
749	10	2907003
750	5	2910753
751	3	2913006
752	3	2915262
753	1	2916015
754	3	2918277
755	1	2919032
756	4	2922056
757	4	2925084
758	2	2926600
759	2	2928118
760	7	2933438
761	2	2934960
762	3	2937246
763	1	2938009
764	2	2939537
765	4	2942597
766	3	2944895
767	6	2949497
768	3	2951801
769	3	2954108
770	1	2954878
771	3	2957191
772	10	2964911
773	1	2965684
774	1	2966458
775	1	2967233
776	1	2968009
777	6	2972671
778	2	2974227
779	3	2976564
780	3	2978904
781	3	2981247
782	3	2983593
783	3	2985942
784	1	2986726
785	4	2989866
786	4	2993010
787	2	2994584
788	1	2995372
789	3	2997739
791	1	2998530
792	1	2999322
793	1	3000115
794	5	3004085
796	3	3006473
797	3	3008864
798	3	3011258
799	2	3012856
800	3	3015256
801	4	3018460
802	2	3020064
803	1	3020867
804	3	3023279
805	2	3024889
806	2	3026501
807	1	3027308
808	3	3029732
809	1	3030541
810	5	3034591
811	1	3035402
812	5	3039462
813	2	3041088
814	4	3044344
816	4	3047608
818	3	3050062
819	3	3052519
820	2	3054159
821	2	3055801
822	2	3057445
823	4	3060737
824	3	3063209
826	5	3067339
827	3	3069820
828	2	3071476
829	4	3074792
