Coverage	Frequency	Reads
1	8092	8092
2	4009	16110
3	2139	22527
4	1292	27695
5	835	31870
6	662	35842
7	474	39160
8	401	42368
9	353	45545
10	267	48215
11	265	51130
12	273	54406
13	245	57591
14	226	60755
15	180	63455
16	194	66559
17	186	69721
18	159	72583
19	153	75490
20	148	78450
21	137	81327
22	156	84759
23	145	88094
24	144	91550
25	132	94850
26	121	97996
27	114	101074
28	117	104350
29	118	107772
30	107	110982
31	103	114175
32	108	117631
33	90	120601
34	67	122879
35	98	126309
36	89	129513
37	94	132991
38	97	136677
39	98	140499
40	88	144019
41	79	147258
42	63	149904
43	60	152484
44	73	155696
45	72	158936
46	75	162386
47	67	165535
48	65	168655
49	63	171742
50	61	174792
51	55	177597
52	57	180561
53	67	184112
54	51	186866
55	71	190771
56	65	194411
57	60	197831
58	65	201601
59	68	205613
60	60	209213
61	62	212995
62	48	215971
63	45	218806
64	50	222006
65	60	225906
66	43	228744
67	52	232228
68	53	235832
69	51	239351
70	37	241941
71	46	245207
72	42	248231
73	44	251443
74	27	253441
75	43	256666
76	43	259934
77	37	262783
78	50	266683
79	40	269843
80	47	273603
81	37	276600
82	51	280782
83	39	284019
84	37	287127
85	45	290952
86	27	293274
87	35	296319
88	43	300103
89	42	303841
90	43	307711
91	29	310350
92	43	314306
93	33	317375
94	46	321699
95	33	324834
96	43	328962
97	34	332260
98	32	335396
99	37	339059
100	36	342659
101	27	345386
102	33	348752
103	42	353078
104	32	356406
105	29	359451
106	32	362843
107	34	366481
108	43	371125
109	28	374177
110	24	376817
111	29	380036
112	19	382164
113	29	385441
114	41	390115
115	32	393795
116	33	397623
117	15	399378
118	33	403272
119	31	406961
120	32	410801
121	28	414189
122	33	418215
123	32	422151
124	26	425375
125	29	429000
126	25	432150
127	28	435706
128	39	440698
129	30	444568
130	28	448208
131	40	453448
132	20	456088
133	29	459945
134	24	463161
135	35	467886
136	22	470878
137	29	474851
138	21	477749
139	30	481919
140	26	485559
141	32	490071
142	27	493905
143	26	497623
144	29	501799
145	27	505714
146	22	508926
147	28	513042
148	29	517334
149	23	520761
150	22	524061
151	22	527383
152	18	530119
153	20	533179
154	35	538569
155	19	541514
156	23	545102
157	29	549655
158	22	553131
159	21	556470
160	22	559990
161	22	563532
162	19	566610
163	21	570033
164	24	573969
165	21	577434
166	27	581916
167	17	584755
168	25	588955
169	28	593687
170	24	597767
171	23	601700
172	20	605140
173	22	608946
174	16	611730
175	35	617855
176	23	621903
177	24	626151
178	30	631491
179	22	635429
180	15	638129
181	20	641749
182	14	644297
183	14	646859
184	16	649803
185	18	653133
186	27	658155
187	26	663017
188	20	666777
189	22	670935
190	19	674545
191	26	679511
192	18	682967
193	17	686248
194	25	691098
195	15	694023
196	22	698335
197	19	702078
198	22	706434
199	16	709618
200	13	712218
201	22	716640
202	20	720680
203	15	723725
204	17	727193
205	15	730268
206	17	733770
207	16	737082
208	15	740202
209	23	745009
210	21	749419
211	22	754061
212	21	758513
213	16	761921
214	16	765345
215	24	770505
216	22	775257
217	9	777210
218	17	780916
219	15	784201
220	23	789261
221	14	792355
222	15	795685
223	14	798807
224	14	801943
225	18	805993
226	13	808931
227	19	813244
228	14	816436
229	15	819871
230	15	823321
231	21	828172
232	18	832348
233	16	836076
234	27	842394
235	17	846389
236	17	850401
237	20	855141
238	17	859187
239	12	862055
240	20	866855
241	22	872157
242	12	875061
243	17	879192
244	15	882852
245	15	886527
246	18	890955
247	20	895895
248	12	898871
249	15	902606
250	24	908606
251	18	913124
252	16	917156
253	7	918927
254	19	923753
255	15	927578
256	18	932186
257	21	937583
258	12	940679
259	15	944564
260	12	947684
261	12	950816
262	18	955532
263	14	959214
264	20	964494
265	16	968734
266	18	973522
267	17	978061
268	16	982349
269	17	986922
270	13	990432
271	20	995852
272	10	998572
273	15	1002667
274	20	1008147
275	11	1011172
276	23	1017520
277	16	1021952
278	13	1025566
279	13	1029193
280	16	1033673
281	20	1039293
282	25	1046343
283	12	1049739
284	16	1054283
285	15	1058558
286	14	1062562
287	14	1066580
288	11	1069748
289	15	1074083
290	13	1077853
291	12	1081345
292	14	1085433
293	17	1090414
294	12	1093942
295	14	1098072
296	11	1101328
297	10	1104298
298	12	1107874
299	8	1110266
300	13	1114166
301	13	1118079
302	10	1121099
303	14	1125341
304	20	1131421
305	8	1133861
306	11	1137227
307	12	1140911
308	16	1145839
309	17	1151092
310	15	1155742
311	16	1160718
312	12	1164462
313	16	1169470
314	16	1174494
315	13	1178589
316	15	1183329
317	16	1188401
318	11	1191899
319	17	1197322
320	11	1200842
321	15	1205657
322	20	1212097
323	5	1213712
324	12	1217600
325	10	1220850
326	10	1224110
327	7	1226399
328	6	1228367
329	14	1232973
330	12	1236933
331	7	1239250
332	7	1241574
333	11	1245237
334	17	1250915
335	10	1254265
336	11	1257961
337	10	1261331
338	9	1264373
339	11	1268102
340	9	1271162
341	10	1274572
342	13	1279018
343	10	1282448
344	9	1285544
345	7	1287959
346	13	1292457
347	7	1294886
348	4	1296278
349	10	1299768
350	8	1302568
351	7	1305025
352	11	1308897
353	11	1312780
354	8	1315612
355	7	1318097
356	7	1320589
357	9	1323802
358	7	1326308
359	9	1329539
360	6	1331699
361	4	1333143
362	10	1336763
363	5	1338578
364	7	1341126
365	8	1344046
366	9	1347340
367	6	1349542
368	11	1353590
369	11	1357649
370	14	1362829
371	8	1365797
372	7	1368401
373	9	1371758
374	8	1374750
375	13	1379625
376	8	1382633
377	10	1386403
378	13	1391317
379	4	1392833
380	10	1396633
381	6	1398919
382	10	1402739
383	5	1404654
384	9	1408110
385	9	1411575
386	5	1413505
387	9	1416988
388	6	1419316
389	7	1422039
390	8	1425159
391	11	1429460
392	5	1431420
393	10	1435350
394	8	1438502
395	4	1440082
396	8	1443250
397	11	1447617
398	9	1451199
399	10	1455189
400	12	1459989
401	6	1462395
402	10	1466415
403	15	1472460
404	11	1476904
405	8	1480144
406	8	1483392
407	3	1484613
408	4	1486245
409	11	1490744
410	7	1493614
411	8	1496902
412	4	1498550
413	9	1502267
414	7	1505165
415	6	1507655
416	4	1509319
417	7	1512238
418	11	1516836
419	5	1518931
420	9	1522711
421	5	1524816
422	14	1530724
423	7	1533685
424	7	1536653
425	10	1540903
426	3	1542181
427	1	1542608
428	6	1545176
429	5	1547321
430	9	1551191
431	5	1553346
432	6	1555938
433	12	1561134
434	17	1568512
435	6	1571122
436	7	1574174
437	5	1576359
438	6	1578987
439	6	1581621
