sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
E10A	90164	50881	56.43	50785	50623	56.15	48657	53.96
E10B	62500	29385	47.02	29298	29003	46.4	27025	43.24
E10C	92003	44929	48.83	44795	44349	48.2	42382	46.07
E11A	78819	31558	40.04	31175	30781	39.05	29098	36.92
E11B	87696	43000	49.03	42900	42516	48.48	38684	44.11
E11C	95594	44534	46.59	44322	43726	45.74	40416	42.28
E12A	66702	36375	54.53	36291	36062	54.06	32961	49.42
E12B	99901	54223	54.28	54135	53772	53.83	48698	48.75
E12C	146858	81029	55.18	80821	80237	54.64	71980	49.01
E14A	130829	70537	53.92	70344	70026	53.52	66734	51.01
E14B	84586	47772	56.48	47690	47576	56.25	45534	53.83
E14D	80001	41746	52.18	41594	41366	51.71	40112	50.14
E15A	55934	25206	45.06	25057	24807	44.35	22746	40.67
E15C	90660	42207	46.56	42052	41593	45.88	35636	39.31
E15D	91524	42749	46.71	42581	41927	45.81	35133	38.39
E17A	74993	28954	38.61	28701	28278	37.71	25874	34.5
E17B	39698	16359	41.21	16197	16107	40.57	15324	38.6
E17C	52394	19578	37.37	19335	19048	36.36	17184	32.8
E17D	18688	6326	33.85	6242	6143	32.87	5743	30.73
E19A	62548	30125	48.16	29963	29760	47.58	28407	45.42
E19B	96491	44616	46.24	44358	43890	45.49	41213	42.71
E19C	109705	45390	41.37	45098	44812	40.85	42388	38.64
E19D	46879	17406	37.13	17275	17090	36.46	15916	33.95
E20A	86810	43163	49.72	43050	42787	49.29	40861	47.07
E20B	107416	57318	53.36	57164	56804	52.88	53846	50.13
E20C	138402	76424	55.22	76330	76090	54.98	73274	52.94
E22A	101194	47259	46.7	47120	46637	46.09	44628	44.1
E22B	144055	78674	54.61	78577	78154	54.25	73860	51.27
E22D	78502	38599	49.17	38534	38173	48.63	35887	45.71
E23B	86891	35972	41.4	35839	35493	40.85	33584	38.65
E23C	93865	50375	53.67	50302	49980	53.25	47888	51.02
E23D	154959	84446	54.5	84288	83717	54.03	80199	51.75
E24A	135722	55335	40.77	55095	54530	40.18	50408	37.14
E24B	75745	26464	34.94	26317	26087	34.44	22810	30.11
E24C	86781	44801	51.63	44688	44462	51.23	40837	47.06
E6A	127636	67467	52.86	67157	66881	52.4	64086	50.21
E6B	69684	37055	53.18	36865	36695	52.66	35325	50.69
E6D	52666	20354	38.65	20242	19287	36.62	17442	33.12
L10A	77831	41791	53.69	41687	41108	52.82	37985	48.8
L10B	97025	48687	50.18	48580	47850	49.32	43443	44.78
L10C	147240	74060	50.3	73929	72476	49.22	64644	43.9
L10D	91473	48361	52.87	48302	47442	51.86	42640	46.61
L11A	90428	41810	46.24	41733	41154	45.51	38098	42.13
L11B	137382	72124	52.5	72045	71168	51.8	61287	44.61
L11C	137500	71355	51.89	71241	70367	51.18	62836	45.7
L11D	104055	52852	50.79	52747	52298	50.26	47713	45.85
L12A	144574	71546	49.49	71484	70931	49.06	63939	44.23
L12B	111882	59292	53	59236	58731	52.49	55096	49.24
L12C	128798	66233	51.42	66155	65417	50.79	60382	46.88
L12D	86194	40832	47.37	40781	40306	46.76	37809	43.87
L14A	117793	64163	54.47	64095	63557	53.96	60147	51.06
L14B	85586	42314	49.44	42253	41768	48.8	39043	45.62
L14C	113203	55421	48.96	55369	54776	48.39	51660	45.63
L14D	90326	48345	53.52	48295	47903	53.03	45813	50.72
L15A	102407	50664	49.47	50557	50341	49.16	48370	47.23
L15B	104089	41603	39.97	41555	41274	39.65	38032	36.54
L15C	146321	80525	55.03	80459	79965	54.65	76854	52.52
L17A	110582	59348	53.67	59274	58331	52.75	52044	47.06
L17B	109557	58141	53.07	58054	57088	52.11	51161	46.7
L17C	98384	53343	54.22	53263	52616	53.48	48592	49.39
L17D	117175	65259	55.69	65138	64381	54.94	59232	50.55
L19A	129456	64951	50.17	64835	63655	49.17	56616	43.73
L19B	90405	50010	55.32	49899	49033	54.24	44624	49.36
L19C	99903	51466	51.52	51370	50551	50.6	46116	46.16
L19D	119597	62829	52.53	62752	61682	51.57	56615	47.34
L20A	94262	51398	54.53	51353	50804	53.9	48215	51.15
L20B	120645	66499	55.12	66428	65557	54.34	61863	51.28
L20CD	97497	46041	47.22	45907	45529	46.7	42644	43.74
L22A	127934	71990	56.27	71926	71412	55.82	67454	52.73
L22B	71259	37212	52.22	37133	36908	51.79	34734	48.74
L22C	87257	43100	49.39	43033	42745	48.99	39080	44.79
L22D	93790	52273	55.73	52199	51792	55.22	48681	51.9
L23A	119613	68840	57.55	68780	68381	57.17	65355	54.64
L23D	98685	50354	51.02	50310	49970	50.64	47591	48.23
L24A	113095	65294	57.73	65191	64797	57.29	61900	54.73
L24B	86161	46672	54.17	46595	46275	53.71	44191	51.29
L6A	104665	54088	51.68	53991	53213	50.84	47534	45.42
L6B	83669	44070	52.67	44000	43372	51.84	38492	46.01
L6C	121031	64292	53.12	64193	63419	52.4	59003	48.75
L6D	88905	41743	46.95	41685	41275	46.43	39137	44.02
