sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
E10A	90164	52114	57.8	51993	51769	57.42	49783	55.21
E10B	62500	30266	48.43	30213	29882	47.81	27931	44.69
E10C	92003	45969	49.96	45808	45386	49.33	43417	47.19
E11A	78819	32553	41.3	32164	31776	40.32	30062	38.14
E11B	87696	43959	50.13	43805	43398	49.49	39642	45.2
E11C	95594	45710	47.82	45500	44876	46.94	41544	43.46
E12A	66702	37130	55.67	37023	36742	55.08	33625	50.41
E12B	99901	55239	55.29	55124	54730	54.78	49603	49.65
E12C	146858	82613	56.25	82472	81900	55.77	73409	49.99
E14A	130829	72354	55.3	72149	71788	54.87	68490	52.35
E14B	84586	49055	57.99	48971	48841	57.74	46754	55.27
E14D	80001	43053	53.82	42886	42622	53.28	41331	51.66
E15A	55934	26102	46.67	25972	25700	45.95	23531	42.07
E15C	90660	43630	48.12	43437	42932	47.35	36961	40.77
E15D	91524	43847	47.91	43636	43066	47.05	36367	39.73
E17A	74993	30038	40.05	29769	29326	39.1	26886	35.85
E17B	39698	16817	42.36	16659	16579	41.76	15810	39.83
E17C	52394	20265	38.68	20026	19761	37.72	17892	34.15
E17D	18688	6582	35.22	6495	6432	34.42	6041	32.33
E19A	62548	31047	49.64	30910	30664	49.02	29320	46.88
E19B	96491	45961	47.63	45712	45165	46.81	42440	43.98
E19C	109705	46701	42.57	46434	46113	42.03	43595	39.74
E19D	46879	17992	38.38	17911	17723	37.81	16538	35.28
E20A	86810	44258	50.98	44163	43884	50.55	41906	48.27
E20B	107416	58665	54.61	58495	58106	54.09	55082	51.28
E20C	138402	78293	56.57	78197	77874	56.27	75011	54.2
E22A	101194	48238	47.67	48096	47536	46.98	45490	44.95
E22B	144055	80484	55.87	80381	79871	55.44	75428	52.36
E22D	78502	39458	50.26	39390	39010	49.69	36622	46.65
E23B	86891	36924	42.49	36761	36404	41.9	34525	39.73
E23C	93865	51567	54.94	51508	51173	54.52	49045	52.25
E23D	154959	86382	55.75	86224	85581	55.23	81994	52.91
E24A	135722	56784	41.84	56534	55999	41.26	51912	38.25
E24B	75745	27589	36.42	27448	27256	35.98	23979	31.66
E24C	86781	45805	52.78	45695	45472	52.4	41886	48.27
E6A	127636	69139	54.17	68825	68567	53.72	65698	51.47
E6B	69684	37996	54.53	37781	37555	53.89	36166	51.9
E6D	52666	21095	40.05	20979	19978	37.93	18126	34.42
L10A	77831	42820	55.02	42704	42030	54	38911	49.99
L10B	97025	49664	51.19	49632	48788	50.28	44337	45.7
L10C	147240	75598	51.34	75408	73878	50.18	66066	44.87
L10D	91473	49475	54.09	49383	48399	52.91	43590	47.65
L11A	90428	44135	48.81	43950	43360	47.95	40213	44.47
L11B	137382	73709	53.65	73595	72529	52.79	62741	45.67
L11C	137500	72989	53.08	72900	71899	52.29	64382	46.82
L11D	104055	54041	51.94	53933	53393	51.31	48829	46.93
L12A	144574	73086	50.55	73014	72365	50.05	65333	45.19
L12B	111882	60651	54.21	60592	59923	53.56	56294	50.32
L12C	128798	67636	52.51	67556	66698	51.78	61581	47.81
L12D	86194	41710	48.39	41634	41066	47.64	38607	44.79
L14A	117793	65651	55.73	65557	64890	55.09	61499	52.21
L14B	85586	43186	50.46	43126	42577	49.75	39854	46.57
L14C	113203	56660	50.05	56592	55936	49.41	52817	46.66
L14D	90326	49426	54.72	49371	48901	54.14	46795	51.81
L15A	102407	52033	50.81	51914	51639	50.43	49643	48.48
L15B	104089	42715	41.04	42596	42321	40.66	39127	37.59
L15C	146321	82813	56.6	82741	82083	56.1	78916	53.93
L17A	110582	60892	55.07	60795	59754	54.04	53461	48.35
L17B	109557	59860	54.64	59766	58625	53.51	52740	48.14
L17C	98384	54734	55.63	54634	53907	54.79	49799	50.62
L17D	117175	67184	57.34	67100	66248	56.54	60982	52.04
L19A	129456	66564	51.42	66390	65151	50.33	58189	44.95
L19B	90405	51464	56.93	51316	50417	55.77	46006	50.89
L19C	99903	52826	52.88	52756	51675	51.73	47302	47.35
L19D	119597	64460	53.9	64350	63054	52.72	58013	48.51
L20A	94262	52788	56	52739	52112	55.28	49488	52.5
L20B	120645	68399	56.69	68336	67354	55.83	63567	52.69
L20CD	97497	47469	48.69	47352	46899	48.1	43988	45.12
L22A	127934	73678	57.59	73606	72959	57.03	68950	53.89
L22B	71259	38427	53.93	38331	37983	53.3	35736	50.15
L22C	87257	44417	50.9	44341	44008	50.43	40121	45.98
L22D	93790	53562	57.11	53488	52888	56.39	49743	53.04
L23A	119613	70532	58.97	70472	69883	58.42	66801	55.85
L23D	98685	51448	52.13	51368	50910	51.59	48538	49.18
L24A	113095	66882	59.14	66776	66307	58.63	63371	56.03
L24B	86161	47761	55.43	47686	47348	54.95	45242	52.51
L6A	104665	55491	53.02	55450	54572	52.14	48959	46.78
L6B	83669	45033	53.82	44956	44283	52.93	39504	47.21
L6C	121031	65810	54.37	65674	64836	53.57	60458	49.95
L6D	88905	42615	47.93	42553	42106	47.36	39964	44.95
