sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
E10A	90164	79384	88.04	79102	31	0.03	31	0.03
E10B	62500	51721	82.75	51462	114	0.18	114	0.18
E10C	92003	78378	85.19	78007	68	0.07	68	0.07
E11A	78819	59822	75.9	58413	1781	2.26	1647	2.09
E11B	87696	74485	84.94	74172	70	0.08	47	0.05
E11C	95594	78733	82.36	78076	480	0.5	477	0.5
E12A	66702	59155	88.69	59006	8	0.01	8	0.01
E12B	99901	88242	88.33	88030	65	0.07	65	0.07
E12C	146858	130015	88.53	129717	10	0.01	10	0.01
E14A	130829	112716	86.16	112184	101	0.08	101	0.08
E14B	84586	74661	88.27	74470	26	0.03	26	0.03
E14D	80001	68373	85.47	67764	146	0.18	146	0.18
E15A	55934	45437	81.23	45029	155	0.28	155	0.28
E15C	90660	74462	82.13	74058	368	0.41	368	0.41
E15D	91524	76022	83.06	75526	246	0.27	246	0.27
E17A	74993	57068	76.1	56210	1289	1.72	1145	1.53
E17B	39698	31200	78.59	30746	289	0.73	284	0.72
E17C	52394	39956	76.26	39298	667	1.27	667	1.27
E17D	18688	14170	75.82	14028	42	0.22	42	0.22
E19A	62548	51657	82.59	51264	248	0.4	248	0.4
E19B	96491	78529	81.38	78000	567	0.59	567	0.59
E19C	109705	86075	78.46	85030	1482	1.35	1451	1.32
E19D	46879	36838	78.58	36587	122	0.26	119	0.25
E20A	86810	74330	85.62	74077	76	0.09	76	0.09
E20B	107416	93327	86.88	92942	98	0.09	98	0.09
E20C	138402	122045	88.18	121841	0	0	0	0
E22A	101194	86486	85.47	86255	16	0.02	16	0.02
E22B	144055	127256	88.34	127036	14	0.01	14	0.01
E22D	78502	67767	86.33	67576	7	0.01	7	0.01
E23B	86891	70487	81.12	70163	203	0.23	197	0.23
E23C	93865	82219	87.59	82042	31	0.03	31	0.03
E23D	154959	135900	87.7	135529	57	0.04	57	0.04
E24A	135722	109684	80.82	108839	726	0.53	706	0.52
E24B	75745	57549	75.98	57248	220	0.29	214	0.28
E24C	86781	75541	87.05	75336	19	0.02	19	0.02
E6A	127636	109027	85.42	108371	321	0.25	321	0.25
E6B	69684	59737	85.73	59158	141	0.2	141	0.2
E6D	52666	41430	78.67	41182	165	0.31	165	0.31
L10A	77831	68198	87.62	68045	0	0	0	0
L10B	97025	84357	86.94	84203	0	0	0	0
L10C	147240	127252	86.42	126993	17	0.01	17	0.01
L10D	91473	79876	87.32	79699	25	0.03	25	0.03
L11A	90428	75755	83.77	75467	80	0.09	80	0.09
L11B	137382	120219	87.51	120046	0	0	0	0
L11C	137500	120679	87.77	120476	0	0	0	0
L11D	104055	90364	86.84	90079	42	0.04	42	0.04
L12A	144574	126066	87.2	125839	3	0	3	0
L12B	111882	98595	88.12	98295	11	0.01	11	0.01
L12C	128798	112932	87.68	112677	6	0	6	0
L12D	86194	74237	86.13	74025	12	0.01	12	0.01
L14A	117793	104194	88.46	103960	0	0	0	0
L14B	85586	74441	86.98	74203	0	0	0	0
L14C	113203	98399	86.92	98184	0	0	0	0
L14D	90326	79677	88.21	79534	4	0	4	0
L15A	102407	87516	85.46	87257	0	0	0	0
L15B	104089	85694	82.33	85465	25	0.02	25	0.02
L15C	146321	127884	87.4	127708	36	0.02	31	0.02
L17A	110582	97007	87.72	96826	0	0	0	0
L17B	109557	95614	87.27	95398	3	0	3	0
L17C	98384	86467	87.89	86291	7	0.01	7	0.01
L17D	117175	103259	88.12	103113	10	0.01	10	0.01
L19A	129456	112198	86.67	112045	6	0	6	0
L19B	90405	79463	87.9	79358	9	0.01	9	0.01
L19C	99903	86952	87.04	86820	4	0	4	0
L19D	119597	104266	87.18	104122	0	0	0	0
L20A	94262	82951	88	82820	0	0	0	0
L20B	120645	106014	87.87	105839	5	0	5	0
L20CD	97497	81016	83.1	80791	51	0.05	51	0.05
L22A	127934	113269	88.54	113056	12	0.01	12	0.01
L22B	71259	62863	88.22	62605	0	0	0	0
L22C	87257	75707	86.76	75548	0	0	0	0
L22D	93790	83104	88.61	82930	8	0.01	8	0.01
L23A	119613	106443	88.99	106285	8	0.01	8	0.01
L23D	98685	86181	87.33	86064	6	0.01	6	0.01
L24A	113095	100811	89.14	100615	3	0	3	0
L24B	86161	75890	88.08	75765	0	0	0	0
L6A	104665	91122	87.06	90977	0	0	0	0
L6B	83669	73189	87.47	73014	17	0.02	17	0.02
L6C	121031	105663	87.3	105455	0	0	0	0
L6D	88905	75851	85.32	75714	0	0	0	0
