sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
E10A	90164	82727	91.75	82273	18728	20.77	18055	20.02
E10B	62500	55193	88.31	54911	29039	46.46	27723	44.36
E10C	92003	81702	88.8	81204	23545	25.59	22699	24.67
E11A	78819	63650	80.75	61257	32743	41.54	31113	39.47
E11B	87696	77948	88.88	77372	28122	32.07	26687	30.43
E11C	95594	82663	86.47	81374	30107	31.49	28575	29.89
E12A	66702	61224	91.79	61019	13249	19.86	12458	18.68
E12B	99901	91304	91.39	90881	21491	21.51	20027	20.05
E12C	146858	134493	91.58	134053	32723	22.28	30063	20.47
E14A	130829	118530	90.6	117655	32233	24.64	30988	23.69
E14B	84586	78018	92.24	77620	16498	19.5	15872	18.76
E14D	80001	71916	89.89	70928	17845	22.31	17453	21.82
E15A	55934	48947	87.51	48227	26939	48.16	25096	44.87
E15C	90660	79948	88.18	78951	40468	44.64	36779	40.57
E15D	91524	80044	87.46	79100	24905	27.21	22903	25.02
E17A	74993	61739	82.33	60227	38665	51.56	36106	48.15
E17B	39698	33117	83.42	32228	16355	41.2	15801	39.8
E17C	52394	42920	81.92	40901	22809	43.53	21819	41.64
E17D	18688	15656	83.78	15347	13893	74.34	13498	72.23
E19A	62548	55039	87.99	54424	23823	38.09	22963	36.71
E19B	96491	83771	86.82	82789	39454	40.89	37166	38.52
E19C	109705	91325	83.25	89627	41861	38.16	39417	35.93
E19D	46879	39525	84.31	39111	27067	57.74	26032	55.53
E20A	86810	77507	89.28	76985	21798	25.11	21047	24.24
E20B	107416	97103	90.4	96453	22957	21.37	22127	20.6
E20C	138402	126886	91.68	126456	27447	19.83	26558	19.19
E22A	101194	89528	88.47	88977	19575	19.34	18764	18.54
E22B	144055	131911	91.57	131507	24526	17.03	23313	16.18
E22D	78502	70219	89.45	69878	15845	20.18	15094	19.23
E23B	86891	74740	86.02	74218	35393	40.73	33648	38.72
E23C	93865	85455	91.04	85142	21174	22.56	20433	21.77
E23D	154959	141239	91.15	140588	32092	20.71	30811	19.88
E24A	135722	115296	84.95	113819	44886	33.07	42215	31.1
E24B	75745	62780	82.88	62226	43589	57.55	40096	52.94
E24C	86781	78332	90.26	78003	16317	18.8	15239	17.56
E6A	127636	114335	89.58	113144	34012	26.65	32830	25.72
E6B	69684	62364	89.5	61426	16693	23.96	16170	23.2
E6D	52666	44848	85.16	44343	32616	61.93	28790	54.67
L10A	77831	70908	91.11	70475	11976	15.39	11493	14.77
L10B	97025	87272	89.95	87055	15379	15.85	14620	15.07
L10C	147240	132100	89.72	131631	25738	17.48	23730	16.12
L10D	91473	83145	90.9	82821	14002	15.31	13314	14.56
L11A	90428	81408	90.03	80677	21879	24.19	20709	22.9
L11B	137382	124691	90.76	124439	28090	20.45	24949	18.16
L11C	137500	125332	91.15	124875	23548	17.13	22098	16.07
L11D	104055	93798	90.14	92969	21829	20.98	20809	20
L12A	144574	130596	90.33	130175	28718	19.86	26284	18.18
L12B	111882	102067	91.23	101720	20052	17.92	19159	17.12
L12C	128798	117147	90.95	116768	23521	18.26	22015	17.09
L12D	86194	76828	89.13	76517	14740	17.1	14105	16.36
L14A	117793	108139	91.8	107760	20162	17.12	19358	16.43
L14B	85586	76953	89.91	76649	14278	16.68	13741	16.06
L14C	113203	102188	90.27	101919	19583	17.3	18692	16.51
L14D	90326	82541	91.38	82251	15562	17.23	15031	16.64
L15A	102407	91904	89.74	91572	28305	27.64	27321	26.68
L15B	104089	90251	86.71	89905	32745	31.46	31318	30.09
L15C	146321	134219	91.73	133912	27711	18.94	26737	18.27
L17A	110582	101222	91.54	100991	19385	17.53	17516	15.84
L17B	109557	100231	91.49	99759	17044	15.56	15720	14.35
L17C	98384	90219	91.7	89914	16559	16.83	15506	15.76
L17D	117175	108404	92.51	108042	18117	15.46	16988	14.5
L19A	129456	116878	90.28	116561	19409	14.99	18440	14.24
L19B	90405	83312	92.15	83029	12537	13.87	12081	13.36
L19C	99903	90593	90.68	90427	15798	15.81	15095	15.11
L19D	119597	109055	91.19	108804	20119	16.82	19071	15.95
L20A	94262	86760	92.04	86488	13902	14.75	13298	14.11
L20B	120645	110958	91.97	110660	18325	15.19	17338	14.37
L20CD	97497	86515	88.74	86076	36221	37.15	34366	35.25
L22A	127934	117562	91.89	117261	23521	18.39	22208	17.36
L22B	71259	65616	92.08	65280	11294	15.85	10780	15.13
L22C	87257	79305	90.89	79014	20221	23.17	17539	20.1
L22D	93790	86269	91.98	85896	17146	18.28	16162	17.23
L23A	119613	110654	92.51	110332	20525	17.16	19586	16.37
L23D	98685	89067	90.25	88755	16308	16.53	15557	15.76
L24A	113095	104596	92.49	104329	20353	18	19524	17.26
L24B	86161	78412	91.01	78180	16103	18.69	15488	17.98
L6A	104665	95056	90.82	94667	15115	14.44	14319	13.68
L6B	83669	75973	90.8	75709	14177	16.94	13552	16.2
L6C	121031	110304	91.14	109846	21476	17.74	20466	16.91
L6D	88905	78714	88.54	78422	15457	17.39	14878	16.73
