sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
E10A	90164	46404	51.47	46340	46204	51.24	44412	49.26
E10B	62500	26922	43.08	26821	26519	42.43	24688	39.5
E10C	92003	41536	45.15	41402	40888	44.44	39186	42.59
E11A	78819	28938	36.71	28659	28337	35.95	26800	34
E11B	87696	39763	45.34	39650	39333	44.85	35850	40.88
E11C	95594	40951	42.84	40753	40296	42.15	37263	38.98
E12A	66702	33417	50.1	33362	33151	49.7	30140	45.19
E12B	99901	50295	50.34	50231	49841	49.89	44871	44.92
E12C	146858	75494	51.41	75372	74831	50.95	66713	45.43
E14A	130829	64388	49.22	64185	63878	48.83	60857	46.52
E14B	84586	42869	50.68	42810	42672	50.45	40864	48.31
E14D	80001	37228	46.53	37123	36866	46.08	35753	44.69
E15A	55934	22636	40.47	22510	22260	39.8	20573	36.78
E15C	90660	38200	42.14	38020	37610	41.48	31929	35.22
E15D	91524	39095	42.72	38967	38444	42	32240	35.23
E17A	74993	26214	34.96	25905	25537	34.05	23386	31.18
E17B	39698	15063	37.94	14898	14818	37.33	14102	35.52
E17C	52394	17896	34.16	17654	17306	33.03	15584	29.74
E17D	18688	5824	31.16	5758	5675	30.37	5255	28.12
E19A	62548	27634	44.18	27495	27273	43.6	25995	41.56
E19B	96491	40957	42.45	40704	40498	41.97	37959	39.34
E19C	109705	41569	37.89	41352	41115	37.48	38796	35.36
E19D	46879	16121	34.39	16020	15857	33.83	14716	31.39
E20A	86810	39523	45.53	39440	39189	45.14	37396	43.08
E20B	107416	52726	49.09	52605	52173	48.57	49441	46.03
E20C	138402	70123	50.67	70024	69816	50.44	67250	48.59
E22A	101194	43613	43.1	43491	43116	42.61	40975	40.49
E22B	144055	71555	49.67	71451	71117	49.37	66828	46.39
E22D	78502	35571	45.31	35494	35254	44.91	32881	41.89
E23B	86891	33221	38.23	33121	32785	37.73	31045	35.73
E23C	93865	46062	49.07	46003	45713	48.7	43749	46.61
E23D	154959	77560	50.05	77406	76897	49.62	73639	47.52
E24A	135722	51020	37.59	50827	50152	36.95	46387	34.18
E24B	75745	24185	31.93	24080	23688	31.27	20640	27.25
E24C	86781	41147	47.41	41048	40557	46.73	37231	42.9
E6A	127636	61723	48.36	61484	61233	47.97	58655	45.95
E6B	69684	33721	48.39	33540	33393	47.92	32111	46.08
E6D	52666	18453	35.04	18384	17541	33.31	15841	30.08
L10A	77831	38246	49.14	38211	37781	48.54	34837	44.76
L10B	97025	44960	46.34	44908	44208	45.56	40008	41.23
L10C	147240	68374	46.44	68246	67181	45.63	59721	40.56
L10D	91473	44229	48.35	44121	43385	47.43	38922	42.55
L11A	90428	34634	38.3	34585	33987	37.58	31552	34.89
L11B	137382	67028	48.79	66932	66134	48.14	56675	41.25
L11C	137500	65572	47.69	65482	64689	47.05	57531	41.84
L11D	104055	48762	46.86	48667	48227	46.35	43972	42.26
L12A	144574	65919	45.6	65862	65335	45.19	58628	40.55
L12B	111882	54470	48.69	54395	53849	48.13	50438	45.08
L12C	128798	61049	47.4	60965	60141	46.69	55427	43.03
L12D	86194	37869	43.93	37815	37335	43.32	34965	40.57
L14A	117793	58625	49.77	58572	58144	49.36	54844	46.56
L14B	85586	39241	45.85	39191	38772	45.3	36165	42.26
L14C	113203	50789	44.87	50686	50221	44.36	47319	41.8
L14D	90326	44373	49.13	44274	43922	48.63	41979	46.47
L15A	102407	46397	45.31	46294	46001	44.92	44137	43.1
L15B	104089	38327	36.82	38260	37994	36.5	34961	33.59
L15C	146321	72775	49.74	72712	72179	49.33	69458	47.47
L17A	110582	53566	48.44	53457	52524	47.5	46887	42.4
L17B	109557	51730	47.22	51643	50770	46.34	45458	41.49
L17C	98384	47980	48.77	47925	47288	48.06	43594	44.31
L17D	117175	57772	49.3	57715	56940	48.59	52279	44.62
L19A	129456	58897	45.5	58771	57786	44.64	51451	39.74
L19B	90405	44320	49.02	44267	43617	48.25	39639	43.85
L19C	99903	47006	47.05	46911	46200	46.24	42185	42.23
L19D	119597	56502	47.24	56326	55487	46.39	50764	42.45
L20A	94262	45771	48.56	45739	45265	48.02	42907	45.52
L20B	120645	59393	49.23	59322	58599	48.57	55218	45.77
L20CD	97497	41899	42.97	41812	41494	42.56	38647	39.64
L22A	127934	65436	51.15	65381	64665	50.55	61146	47.79
L22B	71259	32272	45.29	32182	31848	44.69	30038	42.15
L22C	87257	37993	43.54	37945	37668	43.17	34389	39.41
L22D	93790	47450	50.59	47307	46823	49.92	44102	47.02
L23A	119613	62086	51.91	62033	61699	51.58	58793	49.15
L23D	98685	46055	46.67	45991	45654	46.26	43331	43.91
L24A	113095	59207	52.35	59100	58637	51.85	56141	49.64
L24B	86161	43054	49.97	42979	42572	49.41	40728	47.27
L6A	104665	48676	46.51	48627	48002	45.86	42789	40.88
L6B	83669	40564	48.48	40490	39987	47.79	35421	42.33
L6C	121031	58746	48.54	58638	57982	47.91	53878	44.52
L6D	88905	38589	43.4	38535	38114	42.87	36091	40.6
