PC3	Age	Acetobacter	Acinetobacter	Akkermansia	Altererythrobacter	Ameyamaea	Anaerobacillus	Bacillus	Brucella	Carnobacterium	Corynebacterium_1	Curvibacter	Cutibacterium	Enhydrobacter	Escherichia/Shigella	Gemella	Klebsiella	Lactobacillus	Lawsonella	Mangrovibacter	Massilia	Methylobacterium	Micrococcus	Paracoccus	Proteus	Pseudomonas	Ralstonia	Serratia	Sphingobium	Staphylococcus	Stenotrophomonas	Streptococcus	Wolbachia
low	Early	0.735036977155005	0	0.000329351178178987	0	2.99410161980898e-05	0	0	0	0	0	0	0.00149705080990449	4.49115242971346e-05	0.00309889517650229	0	0	2.99410161980898e-05	0.000449115242971346	0.000479056259169436	0	0	0	0	0.000718584388754154	0.0192221323991736	0.216683134225576	0.00323362974939369	0.00303901314410611	4.49115242971346e-05	0	1.49705080990449e-05	0
low	Early	0.756759822479334	0	0	0	9.92527684432912e-05	1.41789669204702e-05	0	0	0	0	0.000255221404568463	0.00114849632055808	0	0.00218356090575241	0	0	1.41789669204702e-05	0	0.000893274915989621	0	0	1.41789669204702e-05	2.83579338409403e-05	0	0.0163341698923816	0.204006976051725	0.00560069193358572	0	1.41789669204702e-05	0.00136118082436514	4.25369007614105e-05	1.41789669204702e-05
low	Early	0.337762343348936	0	0	0	3.01977955609241e-05	0.000271780160048316	0.000241582364487392	0	0.00172127434697267	0	0	0.00123810961799789	0	0.00123810961799789	0	0	0	0.00111731843575419	0.000422769137852937	0	0	0	0	0	0.0211988524837687	0.608002415823645	0.00407670240072475	0	0	0.00154008757360713	0	0
low	Early	0.914332476705957	0	0	0	2.87137668154997e-05	0	7.17844170387492e-05	0	0.000330208318378246	0	0.000272780784747247	0.000459420269047995	0	0.000531204686086744	0	0.000387635852009246	0	2.87137668154997e-05	0.000344565201785996	0	0	0	0	0	0.00720715547069042	0.0702051598638967	0.00157925717485248	0	5.74275336309994e-05	0	0	0
low	Early	0.954617366541608	7.91031957691091e-05	0.000203408217691995	0	1.13004565384442e-05	1.13004565384442e-05	1.13004565384442e-05	0	5.65022826922208e-05	0	0	4.52018261537766e-05	9.04036523075532e-05	4.52018261537766e-05	0	0	0.000858834696921756	0	0.000452018261537766	0	0.000203408217691995	9.04036523075532e-05	6.78027392306649e-05	0	0.00361614609230213	0.0361162590968675	0.000655426479229761	0	3.39013696153325e-05	0	0	0
low	Early	0.98653021359718	0	0	0	5.09575778164678e-05	0	0	0	3.39717185443119e-05	2.54787889082339e-05	0	1.69858592721559e-05	0	2.54787889082339e-05	0	0	2.54787889082339e-05	0	4.24646481803898e-05	0	0	0	0	0	0.00128243237504777	0.0111936812603508	0.000144379803813325	0	0	1.69858592721559e-05	0	0
low	Early	0.958163326713606	0	0	0	0	0	9.62869350664982e-05	0	7.22152012998736e-05	0	0	4.81434675332491e-05	0.000132394535716435	8.42510681831859e-05	0	0	0.00015646626948306	0	0.000337004272732744	0	9.62869350664982e-05	0.000216645603899621	0.000240717337666245	0	0.00310525365589457	0.0290184750556659	0.000445327074682554	0	0.000192573870132996	7.22152012998736e-05	0	0
low	Early	0.975274473352951	0	0.00014171744875247	0	1.66726410297023e-05	0	0	0	4.16816025742558e-05	0	0	0.000175062730811874	0	8.33632051485116e-06	3.33452820594046e-05	6.66905641188092e-05	0.000233416974415832	0	3.33452820594046e-05	0	0	0	0	0	0.00128379335928708	0.00957009595104913	0.0003584617821386	0	0.000191735371841577	0	5.00179230891069e-05	0
low	Early	0.93566435687101	0	7.58138618064927e-05	0	3.03255447225971e-05	0	0	0	6.06510894451942e-05	0	9.09766341677912e-05	4.54883170838956e-05	0	0.000394232081393762	0	0.000591348122090643	0.000409394853755061	1.51627723612985e-05	3.03255447225971e-05	0	0	0	0	0	0.00407878576518931	0.0351169807887674	0.000424557626116359	0	1.51627723612985e-05	0	0.000121302178890388	0
high	Early	0.667035327306533	0	0.000961723408347759	0	3.20574469449253e-05	0	1.60287234724627e-05	0	0.00131435532474194	1.60287234724627e-05	0	0.000512919151118805	3.20574469449253e-05	0.000737321279733282	0.00102583830223761	0	0.00030454574597679	0	1.60287234724627e-05	0	0	0	0	0.000496890427646342	0.0212220298775406	0.291241905494646	0.00344617554657947	0	0.00115406809001731	0	1.60287234724627e-05	0
high	Early	0.955966425861442	0	0	0	1.29930876773556e-05	9.09516137414895e-05	0	0	0	0	0	0.000155917052128268	0.000194896315160335	0.000220882490515046	0	0	0.000220882490515046	0	0.000727612909931916	0.000129930876773556	0	0	0	9.09516137414895e-05	0.00389792630320669	0.0337820279611247	0.000714619822254561	0	0.000194896315160335	0	9.09516137414895e-05	0
high	Early	0.979179486380596	0	0	0	1.55783865465054e-05	0	0	0	0	9.34703192790323e-05	0	5.45243529127688e-05	0.000155783865465054	0.000140205478918548	0	0	9.34703192790323e-05	0	6.23135461860215e-05	0	0	0	2.33675798197581e-05	0	0.00190835235194691	0.0158354299245227	0.000350513697296371	0	7.01027394592742e-05	1.55783865465054e-05	0	0
high	Early	0.747408925892417	0	0	0	1.14522612489836e-05	0	5.72613062449181e-05	1.14522612489836e-05	0.000561160801200197	0.000229045224979672	0	0.0011910351698943	0.000710040197436984	0.000641326629943082	0	0	0	5.72613062449181e-05	0.000973442206163607	0.000595517584947148	0	0.00182090953858839	1.14522612489836e-05	0.000767301503681902	0.013261718526323	0.199830506533515	0.00130555778238413	0	0.000584065323698164	1.14522612489836e-05	0.00155750752986177	0
high	Early	0.259051045648752	0	0	0	0	0	0	0	0	0.00406811537911156	0	0.00351616002616677	0	0.00476317026800499	0	0	2.04427908498068e-05	0	0.00114479628758918	0.000143099535948648	0	0	0.00308686141832083	0	0.0362655109675573	0.623116707892962	0.00259623443792547	0	0.00631682237259031	0.000490626980395363	2.04427908498068e-05	0
high	Early	0.975065393366249	7.73885991115789e-05	0	0	0	1.54777198223158e-05	1.54777198223158e-05	0	4.64331594669473e-05	1.54777198223158e-05	0	3.09554396446315e-05	0.000154777198223158	0.00010834403875621	0	0	0	0	6.19108792892631e-05	0	0	0	0	0	0.00164063830116547	0.0132489281679023	0.000495287034314105	0	3.09554396446315e-05	0	0	0
high	Early	0.92904906305886	0.000272140580048208	0.000301298499339087	0	4.85965321514657e-05	0	0	0	0	0.000709509369411399	0	0.000767825207993158	0.000388772257211725	0.000330456418629967	0	0	0	0.000272140580048208	0.00034017572506026	0.000223544047896742	0	0	1.94386128605863e-05	0	0.00431537205505015	0.0521440789985227	0.000855298965865796	0	0.00119547469092606	1.94386128605863e-05	0	0
high	Early	0.957671019017883	0	0	0	0	0	0	0	5.32216860630145e-05	3.54811240420096e-05	0	0.000443514050525121	0.000620919670735169	0.000195146182231053	0	7.09622480840193e-05	0.000319330116378087	0.000177405620210048	0.000603179108714164	0.000425773488504116	0	0.000212886744252058	3.54811240420096e-05	0	0.00354811240420097	0.0314185353391995	0.000816065852966222	0	0	0	8.87028101050241e-05	1.77405620210048e-05
high	Early	0.311530755084676	0	0	0	0	0	0	0	0.0005764005160157	2.74476436197952e-05	0.000466609941536519	8.23429308593857e-05	0	0.00129003925013038	0	0	0.00510526171328192	0	0.00148217275546894	0	0	0	0	0	0.0276946724123734	0.521230752339912	0.00408969889934949	0	0	0.000960667526692833	0.000137238218098976	0
low	Late	0.993935160735277	0	0	0	0	0	0	0	0	0	0	1.70360653503467e-05	0	1.70360653503467e-05	0	0	0.000800695071466294	0	0	0	1.70360653503467e-05	0	0	0	0.000289613110955894	0.00344128520077003	5.11081960510401e-05	0	0	0	1.70360653503467e-05	0
low	Late	0.994219818174033	0	0	0	0	0	1.42720538912755e-05	0	1.42720538912755e-05	0	0	2.8544107782551e-05	0	0	0	0	0.00119885252686714	0	1.42720538912755e-05	0	0	0	1.42720538912755e-05	0	0.000214080808369132	0.00216935219147388	1.42720538912755e-05	0	2.8544107782551e-05	0	0	0
low	Late	0.996736812830259	0	0	0	2.78112542875684e-05	0	0	0	9.27041809585612e-06	0	0	0	0	2.78112542875684e-05	0	0	0.000222490034300547	0	0	0	0	0	0	0	0.00028738296097154	0.00200241030870492	0	0	0	0	0	0
low	Late	0.994043781277824	0	0	0	3.07021583617328e-05	0	0	0	0	0	0	1.53510791808664e-05	0	0	6.14043167234657e-05	0	0.00125878849283105	0	1.53510791808664e-05	0	0	0	0	0	0.00021491510853213	0.00194958705597003	0.000107457554266065	0	0	0	3.07021583617328e-05	0
high	Late	0.863624981219011	6.67768484666366e-05	6.67768484666366e-05	0	0	0	0.000367272666566501	0	0.000283801605983206	0.000217024757516569	0	0.000367272666566501	0	0	0	0	0.0198995008430577	0	0.000634380060433048	0	0	0	0	0	0.0074790070282633	0.099180314185072	0.00230380127209896	0	0	0	3.33884242333183e-05	0.000133553696933273
high	Late	0.973776165963029	1.10230491958686e-05	0	0	1.10230491958686e-05	0	0	0	0	0	2.20460983917371e-05	3.30691475876057e-05	0	3.30691475876057e-05	0	0	0.0145283788401548	0	3.30691475876057e-05	0	0	0	0	0	0.000793659542102536	0.00529106361401691	4.40921967834742e-05	0	0	0	0	0
high	Late	0.986367305751766	0	2.01816347124117e-05	0	1.00908173562059e-05	0	0	0	0	0	0	0	0	5.04540867810293e-05	0	0	0.0086175580221998	0	3.02724520686176e-05	0	0	0	0	0	0.000524722502522704	0.00346115035317861	6.05449041372351e-05	0	1.00908173562059e-05	0	0	0
high	Late	0.95391061452514	0	0.00031742001015744	0	2.53936008125952e-05	0	0	0	8.88776028440833e-05	0	0	5.07872016251905e-05	0.000177755205688167	0.000241239207719655	0	0	0.0021076688674454	0	5.07872016251905e-05	0	0	0	0	0	0.00393600812595226	0.0367953275774505	0.000482478415439309	0	0	6.34840020314881e-05	5.07872016251905e-05	0
low	Late	0.973549789178446	0	0	0	1.85745862510913e-05	0	0	0	0	0	0	2.78618793766369e-05	0.000102160224381002	1.85745862510913e-05	0	0	0.00516373497780337	0	3.71491725021825e-05	0	0	0	0	0	0.00222895035013095	0.0165313817634712	0.000213607741887549	0	0	0	0	0
low	Late	0.986713505617196	0	0	0	2.31875992719094e-05	0	0	0	0	0	0	0	0	6.95627978157282e-05	0	6.95627978157282e-05	0.00381436008022909	2.31875992719094e-05	0	0	0	0	0	0	0.00113619236432356	0.00726931237174359	4.63751985438188e-05	0	4.63751985438188e-05	0	0	0
low	Late	0.992204507287542	0	0	0	0	0	0	0	0	0	0	3.10990400762963e-05	0	1.03663466920988e-05	0	0	0.00538013393319926	0	4.14653867683951e-05	1.03663466920988e-05	0	0	0	0	0.00016586154707358	0.00157568469719901	2.07326933841975e-05	0	0	0	1.03663466920988e-05	0
low	Late	0.991266010921661	0	0	0	1.66997879126935e-05	0	0	0	1.66997879126935e-05	0	0	5.00993637380805e-05	0	1.66997879126935e-05	0	1.66997879126935e-05	0.00352365524957833	1.66997879126935e-05	0	0	0	0	0	0	0.000467594061555418	0.00305606118802291	6.6799151650774e-05	0	0	0	0	0
high	Late	0.994989580605122	0	1.13873168065409e-05	0	3.41619504196226e-05	0	0	0	6.83239008392452e-05	5.69365840327044e-05	0	2.27746336130817e-05	0	1.13873168065409e-05	0	2.27746336130817e-05	0.000341619504196226	1.13873168065409e-05	0	0	0	0	0	0	0.000353006821002767	0.0030631882209595	5.69365840327044e-05	0	4.55492672261635e-05	0	2.27746336130817e-05	0
high	Late	0.991468279093327	0	0	0	0	1.58287957452197e-05	0	0	0	3.16575914904394e-05	0	4.74863872356591e-05	1.58287957452197e-05	0	1.58287957452197e-05	0	0.0011238444979106	0	0	0	0	1.58287957452197e-05	1.58287957452197e-05	0	0.000886412561732304	0.00457452197036849	4.74863872356591e-05	0	6.33151829808788e-05	0	3.16575914904394e-05	0
high	Late	0.994888829109112	0	0	0	2.33920864571515e-05	0	0	0	0	1.16960432285758e-05	4.67841729143031e-05	3.50881296857273e-05	0	5.84802161428789e-05	0	0	0.000175440648428637	0	0	0	0	0	0	1.16960432285758e-05	0.000456145685914455	0.00369594966022994	3.50881296857273e-05	0	0	0	0	0
high	Late	0.991943634739047	0	0	0	2.92958736761927e-05	0	0	0	1.46479368380964e-05	0	0	2.92958736761927e-05	0	1.46479368380964e-05	1.46479368380964e-05	0	0.000659157157714336	0	0.000102535557866674	0	0	0	0	0	0.000966763831314359	0.00496565058811466	7.32396841904818e-05	0	1.46479368380964e-05	0	0	0
high	Late	0.891328856428606	0	0	0	0	0.000147051615116906	0	0	0.000428900544090976	0.00207097691289643	0	0.000294103230233812	2.45086025194843e-05	0	2.45086025194843e-05	0.000465663447870202	0.00339444144894858	0	0	0.000710749473065046	0	0.000428900544090976	0.000183814518896133	0	0.00756090387726092	0.0796652124895838	0.00234057154061075	0	0.000306357531493554	6.12715062987108e-05	0.000134797313857164	0
high	Late	0.826028010319591	0	0	0	0	0	0.00118464697520139	0	0	0.000236929395040278	0.000816090138472069	0.00103985678934344	0	0.0012241352077081	0	0	0.00167166850945085	0.000157952930026852	0.000381719580898226	0	0	0	0	0.000210603906702469	0.0136629284473227	0.14139419786237	0.0024219449270784	0	9.21392091823303e-05	0	0.000644974464276312	0
high	Late	0.984381592185117	0	0	0	4.0567293025671e-05	0	8.1134586051342e-06	0	1.62269172102684e-05	0	0	2.43403758154026e-05	0	0	0	0	0.00342387953136663	0	0.000113588420471879	0	8.1134586051342e-06	0	0	0	0.000876253529354493	0.00799175672605718	0.000121701879077013	0	0	0	0	0
low	Late	0.97862868374004	0	2.36801288199008e-05	0	1.18400644099504e-05	1.18400644099504e-05	0	0	0	0	0	0	0	0	0	1.18400644099504e-05	0.0153447234752957	0	0	0	0	1.18400644099504e-05	1.18400644099504e-05	0	0.000201281094969157	0.00196545069205176	4.73602576398016e-05	0	0	0	0	0
low	Late	0.977828414351852	0	0	0	3.61689814814815e-05	1.20563271604938e-05	0	0	0	1.20563271604938e-05	0	1.20563271604938e-05	0	7.2337962962963e-05	1.20563271604938e-05	0	0.0138647762345679	0	1.20563271604938e-05	0	0	0	0	0	0.000277295524691358	0.00307436342592593	7.2337962962963e-05	0	2.41126543209877e-05	0	0	0
low	Late	0.988138829314223	0	1.30773656954543e-05	0	1.30773656954543e-05	1.30773656954543e-05	0	0	0	0	0	2.61547313909086e-05	0	2.61547313909086e-05	0	0	0.0044070722393681	0	0	0	0	0	0	0	0.000510017262122718	0.00333472825234085	5.23094627818172e-05	0	0	2.61547313909086e-05	0	0
low	Late	0.992890822477153	0	0	0	0	0	0	0	0	0	0	0	0	1.21524402099942e-05	0	1.21524402099942e-05	0.00218743923779895	0	0	0	0	0	0	0	0.000255201244409878	0.00221174411821894	3.64573206299825e-05	0	0	0	0	0
low	Late	0.992614697610511	0	0	0	1.07344511475128e-05	0	0	0	0	0	0	4.29378045900513e-05	0	0	0	0	0.00256553382425557	0	0	1.07344511475128e-05	0	0	0	0	0.000289830180982846	0.00216835913179759	8.58756091801026e-05	0	0	1.07344511475128e-05	0	0
low	Late	0.994018971076118	0	0	0	3.11511923118857e-05	0	0	0	0	0	0	1.55755961559429e-05	0	0	0	0	0.00110586732707194	0	0	0	1.55755961559429e-05	0	0	0	0.0003270875192748	0.00336432876968366	4.67267884678286e-05	0	0	1.55755961559429e-05	0	0
low	Late	0.993960832840157	0	0	0	2.69005218701243e-05	0	0	0	0	0	0	0	0	0	0	0	0.00185613600903858	0	1.34502609350621e-05	0	0	0	0	0	0.000201753914025932	0.00201753914025932	0	0	0	0	0	0
low	Late	0.99305450375403	0	0	0	2.16370599562931e-05	0	2.16370599562931e-05	0	0	0	0	7.5729709847026e-05	0	2.16370599562931e-05	0	3.24555899344397e-05	0.000952030638076898	0	0	0	0	0	0	0	0.00069238591860138	0.0037864854923513	5.40926498907328e-05	0	1.08185299781466e-05	0	0	0
low	Late	0.996643568644435	0	0	0	2.7067994802945e-05	0	0	0	2.7067994802945e-05	0	0	1.35339974014725e-05	1.35339974014725e-05	1.35339974014725e-05	0	0	5.413598960589e-05	0	1.35339974014725e-05	0	0	0	0	1.35339974014725e-05	0.000189475963620615	0.00208423559982676	2.7067994802945e-05	0	0	0	0	0
low	Late	0.996322274464032	0	0	0	2.20223085986104e-05	1.10111542993052e-05	1.10111542993052e-05	0	0	1.10111542993052e-05	1.10111542993052e-05	3.30334628979156e-05	0	2.20223085986104e-05	0	0	0.000484490789169429	1.10111542993052e-05	1.10111542993052e-05	0	0	0	0	0	0.000209211931686799	0.00167369545349439	3.30334628979156e-05	0	1.10111542993052e-05	0	1.10111542993052e-05	0
low	Late	0.745301148347785	0	0	0	3.124755878447e-05	0	0.00015623779392235	0	0.00132802124833997	3.124755878447e-05	0	0.000499960940551519	0.00529646121396766	0	0	0	7.81188969611749e-05	0.000203109132099055	0	0	0	0	0	0	0.0169830481993594	0.218467307241622	0.00554644168424342	0	0	9.37426763534099e-05	0.000171861573314585	0
low	Late	0.984405515772031	0	0	0	2.95910516659762e-05	2.95910516659762e-05	0	0	5.91821033319524e-05	0	0	9.86368388865874e-06	0	0	0	0	0.00634234874040757	0	0	0	0	0	0	0	0.000660866820540135	0.00444852143378509	5.91821033319524e-05	0	2.95910516659762e-05	0	0	0
low	Late	0.973934354485777	0	0	0	0	0	0	0	5.25164113785558e-05	1.75054704595186e-05	0	0	1.75054704595186e-05	0	0	0	0.0142144420131291	1.75054704595186e-05	3.50109409190372e-05	0	0	0	3.50109409190372e-05	0	0.000577680525164114	0.00364113785557987	7.00218818380744e-05	0	5.25164113785558e-05	8.7527352297593e-05	0.00024507658643326	0
low	Late	0.896089011986056	0	0	0	1.5917737134489e-05	0	0	0	3.18354742689779e-05	0.000191012845613868	0	3.18354742689779e-05	0	1.5917737134489e-05	0	0	0.0553300542794836	0	0	0	0	6.36709485379558e-05	1.5917737134489e-05	0	0.00163952692485236	0.0112856756283527	0.000668544959648536	0	7.95886856724448e-05	0	0	0
low	Late	0.979381157976309	4.15144470275656e-05	0	0	5.53525960367541e-05	1.38381490091885e-05	0	0	0	0	0	0	0.000428982619284844	1.38381490091885e-05	0	0	0.0103786117568914	0	4.15144470275656e-05	0.000345953725229713	1.38381490091885e-05	0	0	0	0.00047049706631241	0.00286449684490203	9.68670430643197e-05	0	0	0	1.38381490091885e-05	0
high	Late	0.995516877637131	1.01428107757222e-05	5.07140538786108e-05	0	8.11424862057773e-05	0	0	1.01428107757222e-05	1.01428107757222e-05	1.01428107757222e-05	0	0	0	4.05712431028887e-05	0	0	0.00111570918532944	0	0	0	0	0	0	0	0.000425998052580331	0.00174456345342421	2.02856215514443e-05	0	0	0	0	0
high	Late	0.996732147960388	0	0	0	2.48505858525615e-05	0	0	0	0	0	0	0	0	0	1.24252929262807e-05	0	0.000447310545346107	0	2.48505858525615e-05	0	0	0	0	0	9.94023434102459e-05	0.00155316161578509	4.97011717051229e-05	0	0	0	0	0
high	Late	0.991909454748892	0	0	0	3.22761113741016e-05	0	0	0	0	0.000118345741705039	0	2.15174075827344e-05	2.15174075827344e-05	0	0	0	0.00352885484356845	0	2.15174075827344e-05	0	0	2.15174075827344e-05	0	1.07587037913672e-05	0.00019365666824461	0.00177518612557559	3.22761113741016e-05	0	0	0	0	0
