sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
E10A	90164	81264	90.13	80876	79962	88.69	77068	85.48
E10B	62500	53536	85.66	53187	52323	83.72	49583	79.33
E10C	92003	82293	89.45	81870	80439	87.43	76748	83.42
E11A	78819	63492	80.55	61525	56096	71.17	53517	67.9
E11B	87696	77718	88.62	77359	75930	86.58	69497	79.25
E11C	95594	82357	86.15	81375	78002	81.6	72475	75.82
E12A	66702	60955	91.38	60744	59937	89.86	55249	82.83
E12B	99901	91510	91.6	91165	90001	90.09	83206	83.29
E12C	146858	134355	91.49	134002	132362	90.13	121814	82.95
E14A	130829	115578	88.34	114875	113481	86.74	107870	82.45
E14B	84586	75687	89.48	75425	74829	88.46	71910	85.01
E14D	80001	69800	87.25	69021	67642	84.55	65854	82.32
E15A	55934	46516	83.16	46046	44656	79.84	40948	73.21
E15C	90660	76691	84.59	76162	73597	81.18	62268	68.68
E15D	91524	79313	86.66	78542	76268	83.33	64095	70.03
E17A	74993	59841	79.8	58657	53990	71.99	50016	66.69
E17B	39698	33107	83.4	32397	30478	76.77	29337	73.9
E17C	52394	42398	80.92	41518	38919	74.28	35409	67.58
E17D	18688	14736	78.85	14474	13957	74.68	13390	71.65
E19A	62548	53341	85.28	52786	51492	82.32	49474	79.1
E19B	96491	81525	84.49	80859	78779	81.64	74788	77.51
E19C	109705	90625	82.61	89120	85342	77.79	81041	73.87
E19D	46879	38958	83.1	38590	37419	79.82	35583	75.9
E20A	86810	77335	89.09	76956	75766	87.28	72010	82.95
E20B	107416	96865	90.18	96227	94718	88.18	89818	83.62
E20C	138402	125573	90.73	125195	124430	89.9	119595	86.41
E22A	101194	91630	90.55	91315	89626	88.57	85409	84.4
E22B	144055	131043	90.97	130732	127321	88.38	121032	84.02
E22D	78502	70997	90.44	70731	67205	85.61	64004	81.53
E23B	86891	74428	85.66	74092	72861	83.85	69132	79.56
E23C	93865	85034	90.59	84840	83871	89.35	80651	85.92
E23D	154959	140032	90.37	139576	137843	88.95	132424	85.46
E24A	135722	117733	86.75	116600	112243	82.7	103017	75.9
E24B	75745	60690	80.12	60216	58822	77.66	51021	67.36
E24C	86781	78471	90.42	78223	77520	89.33	70838	81.63
E6A	127636	112414	88.07	111574	109458	85.76	105059	82.31
E6B	69684	61552	88.33	60741	59319	85.13	57207	82.09
E6D	52666	43091	81.82	42718	40379	76.67	36578	69.45
L10A	77831	70208	90.21	69998	68402	87.89	62388	80.16
L10B	97025	88150	90.85	87868	85646	88.27	77042	79.4
L10C	147240	133022	90.34	132608	128792	87.47	113401	77.02
L10D	91473	82530	90.22	82227	80045	87.51	71318	77.97
L11A	90428	75595	83.6	75151	73556	81.34	67798	74.97
L11B	137382	124414	90.56	124104	121447	88.4	104556	76.11
L11C	137500	124652	90.66	124407	122163	88.85	109326	79.51
L11D	104055	93809	90.15	93405	91844	88.26	83392	80.14
L12A	144574	131319	90.83	131081	129408	89.51	117499	81.27
L12B	111882	101899	91.08	101628	99778	89.18	92866	83
L12C	128798	117054	90.88	116728	114647	89.01	106594	82.76
L12D	86194	78253	90.79	78003	76253	88.47	71207	82.61
L14A	117793	106987	90.83	106654	104915	89.07	99337	84.33
L14B	85586	77970	91.1	77610	75920	88.71	70390	82.24
L14C	113203	102067	90.16	101769	99890	88.24	94081	83.11
L14D	90326	82126	90.92	81925	80482	89.1	76673	84.88
L15A	102407	90409	88.28	90065	89118	87.02	85590	83.58
L15B	104089	90669	87.11	90366	88793	85.3	81752	78.54
L15C	146321	130545	89.22	130227	129098	88.23	124205	84.89
L17A	110582	99215	89.72	99003	96934	87.66	85667	77.47
L17B	109557	97559	89.05	97262	94847	86.57	83879	76.56
L17C	98384	88300	89.75	88102	86536	87.96	79805	81.12
L17D	117175	104584	89.25	104381	102730	87.67	94439	80.6
L19A	129456	115989	89.6	115771	112681	87.04	99108	76.56
L19B	90405	80688	89.25	80537	78572	86.91	70677	78.18
L19C	99903	89835	89.92	89565	87202	87.29	79013	79.09
L19D	119597	106613	89.14	106422	103467	86.51	94241	78.8
L20A	94262	84538	89.68	84385	83008	88.06	78391	83.16
L20B	120645	107758	89.32	107536	105420	87.38	99027	82.08
L20CD	97497	83636	85.78	83335	81920	84.02	76916	78.89
L22A	127934	115987	90.66	115733	113888	89.02	107297	83.87
L22B	71259	63506	89.12	63295	62270	87.39	58045	81.46
L22C	87257	77100	88.36	76884	74940	85.88	68063	78
L22D	93790	85031	90.66	84763	83318	88.83	77325	82.44
L23A	119613	108493	90.7	108289	106748	89.24	101518	84.87
L23D	98685	89891	91.09	89718	88203	89.38	83533	84.65
L24A	113095	102764	90.87	102482	101424	89.68	97010	85.78
L24B	86161	78584	91.21	78419	77591	90.05	74069	85.97
L6A	104665	93577	89.41	93359	91374	87.3	80891	77.29
L6B	83669	75713	90.49	75517	73955	88.39	65548	78.34
L6C	121031	108665	89.78	108409	106604	88.08	99416	82.14
L6D	88905	80111	90.11	79893	78394	88.18	74244	83.51
