Length	R1	R2	Clean_R1	Clean_R2	Singleton_R1	Singleton_R2	Merged	Not_merged_R1	Not_merged_R2
1	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0
7	0	0	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0	0	0
9	0	0	0	0	0	0	0	0	0
10	0	0	0	0	0	0	0	0	0
11	0	0	0	0	0	0	0	0	0
12	0	0	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0	0
15	0	0	0	0	0	0	0	0	0
16	0	0	0	0	0	0	0	0	0
17	0	0	0	0	0	0	0	0	0
18	0	0	0	0	0	0	0	0	0
19	0	0	0	0	0	0	0	0	0
20	0	0	0	0	0	0	0	0	0
21	0	0	0	0	0	0	0	0	0
22	0	0	0	0	0	0	0	0	0
23	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0
25	0	0	0	0	0	0	0	0	0
26	0	0	0	0	0	0	0	0	0
27	0	0	0	0	0	0	0	0	0
28	0	0	0	0	0	0	0	0	0
29	0	0	0	0	0	0	0	0	0
30	0	0	0	0	0	0	0	0	0
31	0	0	0	0	0	0	0	0	0
32	0	0	0	0	0	0	0	0	0
33	0	0	0	0	0	0	0	0	0
34	0	0	0	0	0	0	0	0	0
35	36	37	0	0	0	0	0	0	0
36	4	4	0	0	0	0	0	0	0
37	5	4	0	0	0	0	0	0	0
38	2	2	0	0	0	0	0	0	0
39	1	1	0	0	0	0	0	0	0
40	18	19	0	0	0	0	0	0	0
41	10	11	0	0	0	0	0	0	0
42	18	17	0	0	0	0	0	0	0
43	0	0	0	0	0	0	0	0	0
44	2	2	0	0	0	0	0	0	0
45	13	13	0	0	0	0	0	0	0
46	0	0	0	0	0	0	0	0	0
47	1	1	0	0	0	0	0	0	0
48	0	0	0	0	0	0	0	0	0
49	0	0	0	0	0	0	0	0	0
50	1	0	714	1233	160	37	0	706	1230
51	35	40	945	1345	147	40	29	909	1309
52	0	0	955	962	119	34	0	950	958
53	2	2	708	1258	84	62	2	701	1246
54	1	1	568	981	128	37	1	565	968
55	49	47	340	1077	110	32	43	292	1033
56	2	2	458	930	126	41	2	452	925
