Sample	Original	Clean	Singletons_1	Singletons_2	Merged	Unmerged
E10A	91431	90164 (0.99)	1048 (0.01)	141 (0.00)	82525 (0.92)	7639 (0.08)
E10B	63604	62500 (0.98)	906 (0.01)	100 (0.00)	54096 (0.87)	8404 (0.13)
E10C	93715	92003 (0.98)	1490 (0.02)	122 (0.00)	82857 (0.90)	9146 (0.10)
E11A	80951	78819 (0.97)	1704 (0.02)	151 (0.00)	65080 (0.83)	13739 (0.17)
E11B	89195	87696 (0.98)	1277 (0.01)	122 (0.00)	78346 (0.89)	9350 (0.11)
E11C	97559	95594 (0.98)	1642 (0.02)	163 (0.00)	83836 (0.88)	11758 (0.12)
E12A	67748	66702 (0.98)	886 (0.01)	95 (0.00)	61846 (0.93)	4856 (0.07)
E12B	101572	99901 (0.98)	1415 (0.01)	148 (0.00)	92585 (0.93)	7316 (0.07)
E12C	149264	146858 (0.98)	2048 (0.01)	205 (0.00)	136116 (0.93)	10742 (0.07)
E14A	133050	130829 (0.98)	1774 (0.01)	283 (0.00)	117758 (0.90)	13071 (0.10)
E14B	85795	84586 (0.99)	979 (0.01)	157 (0.00)	77358 (0.91)	7228 (0.09)
E14D	81377	80001 (0.98)	1061 (0.01)	188 (0.00)	71371 (0.89)	8630 (0.11)
E15A	56954	55934 (0.98)	755 (0.01)	130 (0.00)	47498 (0.85)	8436 (0.15)
E15C	92320	90660 (0.98)	1293 (0.01)	231 (0.00)	77412 (0.85)	13248 (0.15)
E15D	93337	91524 (0.98)	1521 (0.02)	154 (0.00)	80545 (0.88)	10979 (0.12)
E17A	76711	74993 (0.98)	1356 (0.02)	164 (0.00)	60529 (0.81)	14464 (0.19)
E17B	40599	39698 (0.98)	732 (0.02)	76 (0.00)	33488 (0.84)	6210 (0.16)
E17C	53638	52394 (0.98)	968 (0.02)	109 (0.00)	42712 (0.82)	9682 (0.18)
E17D	19038	18688 (0.98)	276 (0.01)	30 (0.00)	14921 (0.80)	3767 (0.20)
E19A	63725	62548 (0.98)	923 (0.01)	123 (0.00)	54355 (0.87)	8193 (0.13)
E19B	98341	96491 (0.98)	1509 (0.02)	173 (0.00)	83010 (0.86)	13481 (0.14)
E19C	112077	109705 (0.98)	1819 (0.02)	237 (0.00)	93183 (0.85)	16522 (0.15)
E19D	47691	46879 (0.98)	689 (0.01)	71 (0.00)	38968 (0.83)	7911 (0.17)
E20A	88156	86810 (0.98)	1172 (0.01)	126 (0.00)	78160 (0.90)	8650 (0.10)
E20B	109069	107416 (0.98)	1446 (0.01)	153 (0.00)	97817 (0.91)	9599 (0.09)
E20C	140308	138402 (0.99)	1644 (0.01)	206 (0.00)	127312 (0.92)	11090 (0.08)
E22A	102956	101194 (0.98)	1594 (0.02)	124 (0.00)	91992 (0.91)	9202 (0.09)
