Sample	Original	Clean	Singletons_1	Singletons_2	Merged	Unmerged
E22B	145987	144055 (0.99)	1704 (0.01)	172 (0.00)	132891 (0.92)	11164 (0.08)
E22D	79703	78502 (0.98)	1029 (0.01)	116 (0.00)	71623 (0.91)	6879 (0.09)
E23B	88241	86891 (0.98)	1163 (0.01)	121 (0.00)	74673 (0.86)	12218 (0.14)
E23C	95237	93865 (0.99)	1196 (0.01)	139 (0.00)	86000 (0.92)	7865 (0.08)
E23D	157279	154959 (0.99)	2015 (0.01)	236 (0.00)	142047 (0.92)	12912 (0.08)
E24A	138491	135722 (0.98)	2449 (0.02)	168 (0.00)	117029 (0.86)	18693 (0.14)
E24B	77138	75745 (0.98)	1135 (0.01)	132 (0.00)	61317 (0.81)	14428 (0.19)
E24C	88155	86781 (0.98)	1203 (0.01)	119 (0.00)	79408 (0.92)	7373 (0.08)
E6A	129768	127636 (0.98)	1734 (0.01)	217 (0.00)	114595 (0.90)	13041 (0.10)
E6B	70888	69684 (0.98)	1013 (0.01)	112 (0.00)	62760 (0.90)	6924 (0.10)
E6D	53631	52666 (0.98)	795 (0.01)	69 (0.00)	43513 (0.83)	9153 (0.17)
L10A	79042	77831 (0.98)	1046 (0.01)	128 (0.00)	71308 (0.92)	6523 (0.08)
L10B	98662	97025 (0.98)	1432 (0.01)	123 (0.00)	88960 (0.92)	8065 (0.08)
L10C	149822	147240 (0.98)	2301 (0.02)	206 (0.00)	134465 (0.91)	12775 (0.09)
L10D	93044	91473 (0.98)	1373 (0.01)	147 (0.00)	83758 (0.92)	7715 (0.08)
L11A	91879	90428 (0.98)	1171 (0.01)	214 (0.00)	78411 (0.87)	12017 (0.13)
L11B	139602	137382 (0.98)	1974 (0.01)	177 (0.00)	126160 (0.92)	11222 (0.08)
L11C	139483	137500 (0.99)	1714 (0.01)	207 (0.00)	126448 (0.92)	11052 (0.08)
L11D	105578	104055 (0.99)	1319 (0.01)	143 (0.00)	95062 (0.91)	8993 (0.09)
L12A	146755	144574 (0.99)	1914 (0.01)	201 (0.00)	132639 (0.92)	11935 (0.08)
L12B	113492	111882 (0.99)	1423 (0.01)	148 (0.00)	103243 (0.92)	8639 (0.08)
L12C	130779	128798 (0.98)	1730 (0.01)	204 (0.00)	118560 (0.92)	10238 (0.08)
L12D	87691	86194 (0.98)	1349 (0.02)	112 (0.00)	78873 (0.92)	7321 (0.08)
L14A	119435	117793 (0.99)	1426 (0.01)	162 (0.00)	108769 (0.92)	9024 (0.08)
L14B	86953	85586 (0.98)	1208 (0.01)	119 (0.00)	78680 (0.92)	6906 (0.08)
L14C	115051	113203 (0.98)	1618 (0.01)	169 (0.00)	103538 (0.91)	9665 (0.09)
L14D	91550	90326 (0.99)	1050 (0.01)	126 (0.00)	83366 (0.92)	6960 (0.08)
L15A	104089	102407 (0.98)	1460 (0.01)	138 (0.00)	91681 (0.90)	10726 (0.10)
L15B	105959	104089 (0.98)	1582 (0.01)	165 (0.00)	91075 (0.87)	13014 (0.13)
L15C	148588	146321 (0.98)	1897 (0.01)	263 (0.00)	132972 (0.91)	13349 (0.09)
L17A	112318	110582 (0.98)	1468 (0.01)	179 (0.00)	101119 (0.91)	9463 (0.09)
L17B	111359	109557 (0.98)	1494 (0.01)	232 (0.00)	99599 (0.91)	9958 (0.09)
L17C	99887	98384 (0.98)	1249 (0.01)	176 (0.00)	90123 (0.92)	8261 (0.08)
L17D	118898	117175 (0.99)	1396 (0.01)	249 (0.00)	107078 (0.91)	10097 (0.09)
L19A	131752	129456 (0.98)	1983 (0.02)	207 (0.00)	117882 (0.91)	11574 (0.09)
L19B	91763	90405 (0.99)	1126 (0.01)	157 (0.00)	82528 (0.91)	7877 (0.09)
L19C	101595	99903 (0.98)	1452 (0.01)	168 (0.00)	91248 (0.91)	8655 (0.09)
L19D	121540	119597 (0.98)	1663 (0.01)	204 (0.00)	108922 (0.91)	10675 (0.09)
L20A	95689	94262 (0.99)	1212 (0.01)	150 (0.00)	86346 (0.92)	7916 (0.08)
L20B	122615	120645 (0.98)	1630 (0.01)	248 (0.00)	110311 (0.91)	10334 (0.09)
L20CD	99242	97497 (0.98)	1460 (0.01)	163 (0.00)	84329 (0.86)	13168 (0.14)
L22A	129778	127934 (0.99)	1536 (0.01)	219 (0.00)	117960 (0.92)	9974 (0.08)
L22B	72268	71259 (0.99)	840 (0.01)	126 (0.00)	65173 (0.91)	6086 (0.09)
L22C	88621	87257 (0.98)	1153 (0.01)	143 (0.00)	78714 (0.90)	8543 (0.10)
L22D	95137	93790 (0.99)	1148 (0.01)	148 (0.00)	86530 (0.92)	7260 (0.08)
L23A	121249	119613 (0.99)	1352 (0.01)	211 (0.00)	110570 (0.92)	9043 (0.08)
L23D	100334	98685 (0.98)	1471 (0.01)	114 (0.00)	90736 (0.92)	7949 (0.08)
L24A	114726	113095 (0.99)	1368 (0.01)	184 (0.00)	104621 (0.93)	8474 (0.07)
L24B	87507	86161 (0.98)	1195 (0.01)	95 (0.00)	79532 (0.92)	6629 (0.08)
L6A	106322	104665 (0.98)	1377 (0.01)	216 (0.00)	95343 (0.91)	9322 (0.09)
L6B	85047	83669 (0.98)	1237 (0.01)	102 (0.00)	76800 (0.92)	6869 (0.08)
L6C	123086	121031 (0.98)	1656 (0.01)	232 (0.00)	110548 (0.91)	10483 (0.09)
L6D	90636	88905 (0.98)	1534 (0.02)	140 (0.00)	80627 (0.91)	8278 (0.09)
Negativ	34024	33239 (0.98)	642 (0.02)	99 (0.00)	26055 (0.78)	7184 (0.22)
Negativo1	110219	108219 (0.98)	1735 (0.02)	148 (0.00)	83777 (0.77)	24442 (0.23)
Negativo3	9	9 (1.00)	0 (0.00)	0 (0.00)	8 (0.89)	1 (0.11)
TestNeg1	2072	2020 (0.97)	20 (0.01)	2 (0.00)	1592 (0.79)	428 (0.21)
TestNeg2	1892	1858 (0.98)	28 (0.01)	3 (0.00)	1459 (0.79)	399 (0.21)
TestNeg3	1741	1715 (0.99)	20 (0.01)	4 (0.00)	1377 (0.80)	338 (0.20)
TestNeg4	1335	1311 (0.98)	19 (0.01)	3 (0.00)	1028 (0.78)	283 (0.22)
