,age,isoline,replicate,seqrun,simpson,shannon,LactoAcetoRatio,RotAxis1,RotAxis2,OriAxis1,OriAxis2
L10B.fastq.gz,Late,10,B,1,0.986755187815936,4.56473753210909,0.00218208963794539,0.251370605596532,-0.113586418229269,0.179181107661722,-0.209721688008751
L10C.fastq.gz,Late,10,C,1,0.988999311907581,4.71887673196317,0.000390675869253809,0.18842444750699,-0.0623246583304104,0.144018103276477,-0.136553730754465
L10D.fastq.gz,Late,10,D,1,0.98711742344891,4.5753249218781,0.00239400725924782,0.237857705877124,-0.0876151253894093,0.177998791861314,-0.180469189996639
L11A.fastq.gz,Late,11,A,1,0.989069456092113,4.8701421120193,0.026022232962784,-0.189341435056754,-0.25089292124468,-0.278078585403703,-0.146525551696335
L11B.fastq.gz,Late,11,B,1,0.990009073639272,4.82461588241569,0.0153525333934509,0.0573558456519662,-0.0917047020741688,0.0129007831475904,-0.107391876821029
L11C.fastq.gz,Late,11,C,1,0.987474397796468,4.68278484272677,0.00933106877570648,0.0824318261608266,-0.0467830468124465,0.054703066337562,-0.077403061738749
L11D.fastq.gz,Late,11,D,1,0.991802354514027,5.0464768261758,0.00253566614618783,-0.0927870494846652,-0.157143007327003,-0.150817007710794,-0.102750141065629
L12A.fastq.gz,Late,12,A,1,0.990729059819776,4.90245618342721,0.00597345343855263,-0.0327807025946639,-0.0577987425987673,-0.0542526518402975,-0.0383655949633761
L12B.fastq.gz,Late,12,B,1,0.989706355373254,4.82629645520919,0.00413737981616869,0.122471949419931,-0.128669689167194,0.0561089313797898,-0.16854392639463
L12C.fastq.gz,Late,12,C,1,0.989428638676099,4.75763340571092,0.00565308254963427,0.0942836074955476,0.00208706099128236,0.0862166541120795,-0.0382157430867679
L12D.fastq.gz,Late,12,D,1,0.987645999404655,4.61681959470986,0.0041623133699572,0.156179821396208,-0.0719402625277197,0.110745848030709,-0.131540469544045
L14A.fastq.gz,Late,14,A,1,0.984677078584909,4.44275606441238,0.000503657238355788,0.0729899227441484,-0.0813567617007715,0.0314516051830423,-0.104676874370813
L14B.fastq.gz,Late,14,B,1,0.986080651856738,4.56254295570966,0.00159672989717059,0.0879794497782791,-0.160754405383119,0.0112448102110124,-0.182909586071062
L14C.fastq.gz,Late,14,C,1,0.984378140798528,4.45058719350987,0.000235161320665977,0.0460715199773864,-0.0836470578114021,0.00611560970172564,-0.09529960415189
L14D.fastq.gz,Late,14,D,1,0.985172448515917,4.47495112462907,0.00106343696920464,0.0645132934112461,-0.110002040866306,0.0115954661294345,-0.126995902243967
L15A.fastq.gz,Late,15,A,1,0.979608800430597,4.24956438133672,0.00715130511318316,-0.13387239104014,-0.227068672996744,-0.217743876465108,-0.148558418143349
L15B.fastq.gz,Late,15,B,1,0.984986817552955,4.55737515941762,0.00323650393801218,-0.141532468068039,-0.242912266171085,-0.231415676584107,-0.159638946391295
L15C.fastq.gz,Late,15,C,1,0.975871162410342,4.00702218633741,0.00575409092782655,0.00884029245671792,-0.19554596089918,-0.0751769786120159,-0.180734046270957
L17A.fastq.gz,Late,17,A,1,0.992244100933595,5.10628152975344,0.0184410069760388,0.212181623258377,-0.0554985414299871,0.168422475283444,-0.140481312525238
L17B.fastq.gz,Late,17,B,1,0.991762487967134,5.06281318743986,0.016857604419726,0.212656051560742,-0.124529564481035,0.139488729493764,-0.203157827905933
L17C.fastq.gz,Late,17,C,1,0.990938984584466,4.9233187594763,0.00648005523981516,0.199354363733024,-0.118009568083571,0.130223739835665,-0.191599055534945
L17D.fastq.gz,Late,17,D,1,0.987602545587712,4.63022749958074,0.00317013463892289,0.266431680428865,-0.13983162852598,0.181648044792124,-0.239880621342315
L19A.fastq.gz,Late,19,A,1,0.986606306454609,4.60823871142272,0.00348262473096183,0.148480173182907,-0.0706715035601253,0.104317164663151,-0.127117081466323
L19B.fastq.gz,Late,19,B,1,0.987064617283756,4.59472786790206,0.00153605015673981,0.145554756222821,-0.103764121262771,0.0875932793910679,-0.155822326147565
L19C.fastq.gz,Late,19,C,1,0.987260966812767,4.63675437756802,0.00269377588867531,0.207072167862635,-0.0993341721238847,0.145152323210473,-0.177980233513364
L19D.fastq.gz,Late,19,D,1,0.989029134063748,4.7489620771939,0.00139486732414319,0.158515838709766,-0.125594256462322,0.0900376750511293,-0.181092256735542
L20A.fastq.gz,Late,20,A,1,0.982683799374564,4.33368238579266,0.000135788387377112,0.144325286233387,-0.0672402581984016,0.102016411933818,-0.122244395638763
L20B.fastq.gz,Late,20,B,1,0.983785557162094,4.36965078134844,0.000873150082341369,0.216711100589233,-0.0990926811775762,0.153978506651795,-0.181861705894454
L20CD.fastq.gz,Late,20,CD,1,0.98807436057438,4.69738428673266,0.000104806422537573,-0.118330321148135,-0.165225295230549,-0.177372165181494,-0.0991996880331363
L22A.fastq.gz,Late,22,A,1,0.987735379952644,4.6647153820213,0.00922947419054204,0.15562426368363,-0.154434703571828,0.0751531256615998,-0.205963581289708
L22B.fastq.gz,Late,22,B,1,0.989200840614185,4.79263643411044,0.0207962613462748,0.146559646948504,-0.12204539036877,0.0807265878511509,-0.172794749451035
L22C.fastq.gz,Late,22,C,1,0.987655871925949,4.71656455717216,0.097017179200199,0.105731859531682,-0.217072108090681,0.00335579958514793,-0.241429627096809
L22D.fastq.gz,Late,22,D,1,0.987283689888813,4.63454890497064,0.0158135722562958,0.0998473424722052,-0.104853473422135,0.0457636185248989,-0.137366058060046
