sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
E10A	90164	74375	82.49	74072	71612	79.42	68885	76.4
E10B	62500	48098	76.96	47846	29215	46.74	27538	44.06
E10C	92003	74487	80.96	74128	66527	72.31	63693	69.23
E11A	78819	55209	70.05	53784	32872	41.71	31319	39.74
E11B	87696	70650	80.56	70326	56291	64.19	51129	58.3
E11C	95594	74056	77.47	73298	58389	61.08	54153	56.65
E12A	66702	56256	84.34	56090	55288	82.89	50268	75.36
E12B	99901	84635	84.72	84458	83245	83.33	74955	75.03
E12C	146858	124234	84.59	123948	121745	82.9	109021	74.24
E14A	130829	105503	80.64	104996	95529	73.02	91380	69.85
E14B	84586	69276	81.9	69100	67386	79.67	64560	76.32
E14D	80001	62844	78.55	62307	56893	71.12	55236	69.04
E15A	55934	41316	73.87	40998	22414	40.07	21180	37.87
E15C	90660	68508	75.57	68055	40164	44.3	34892	38.49
E15D	91524	71412	78.03	70892	57677	63.02	48542	53.04
E17A	74993	52068	69.43	51247	24446	32.6	22468	29.96
E17B	39698	29214	73.59	28748	18225	45.91	17606	44.35
E17C	52394	36976	70.57	36288	18294	34.92	16298	31.11
E17D	18688	12846	68.74	12628	1641	8.78	1617	8.65
E19A	62548	47870	76.53	47496	34159	54.61	33038	52.82
E19B	96491	72912	75.56	72373	47792	49.53	45565	47.22
E19C	109705	79876	72.81	78737	53096	48.4	50828	46.33
E19D	46879	34076	72.69	33787	13198	28.15	12702	27.1
E20A	86810	70090	80.74	69809	60758	69.99	58085	66.91
E20B	107416	88240	82.15	87820	81581	75.95	77294	71.96
E20C	138402	114850	82.98	114578	111674	80.69	107577	77.73
E22A	101194	83337	82.35	83111	77362	76.45	73770	72.9
E22B	144055	120012	83.31	119773	116161	80.64	109655	76.12
E22D	78502	64700	82.42	64493	60028	76.47	56572	72.06
E23B	86891	66359	76.37	66076	40978	47.16	39428	45.38
E23C	93865	77687	82.76	77537	71818	76.51	68988	73.5
E23D	154959	128148	82.7	127811	121970	78.71	117077	75.55
E24A	135722	104218	76.79	103399	74855	55.15	69050	50.88
E24B	75745	52591	69.43	52213	20504	27.07	17558	23.18
E24C	86781	71710	82.63	71512	69345	79.91	63419	73.08
E6A	127636	102142	80.03	101458	91662	71.82	88141	69.06
E6B	69684	55933	80.27	55350	51306	73.63	49521	71.07
E6D	52666	37839	71.85	37560	12752	24.21	12240	23.24
L10A	77831	64205	82.49	64093	62679	80.53	57312	73.64
L10B	97025	80641	83.11	80484	78592	81	70501	72.66
L10C	147240	121731	82.68	121300	118522	80.5	104528	70.99
L10D	91473	75497	82.53	75215	73534	80.39	65297	71.38
L11A	90428	65969	72.95	65609	54204	59.94	50284	55.61
L11B	137382	114283	83.19	114068	110035	80.09	93551	68.1
L11C	137500	114200	83.05	113931	111147	80.83	97496	70.91
L11D	104055	85654	82.32	85338	79396	76.3	71678	68.88
L12A	144574	119894	82.93	119698	114103	78.92	102471	70.88
L12B	111882	93208	83.31	93064	90266	80.68	84065	75.14
L12C	128798	107209	83.24	106972	103946	80.7	95330	74.02
L12D	86194	71152	82.55	70922	68982	80.03	64114	74.38
L14A	117793	97964	83.17	97667	95681	81.23	90173	76.55
L14B	85586	71073	83.04	70834	69123	80.76	64161	74.97
L14C	113203	93125	82.26	92879	90638	80.07	85079	75.16
L14D	90326	75217	83.27	75079	73214	81.06	69711	77.18
L15A	102407	81823	79.9	81533	69933	68.29	67489	65.9
L15B	104089	80658	77.49	80447	62424	59.97	57570	55.31
L15C	146321	118949	81.29	118773	115317	78.81	111008	75.87
L17A	110582	90627	81.95	90353	86649	78.36	76485	69.17
L17B	109557	88532	80.81	88296	84680	77.29	75297	68.73
L17C	98384	80648	81.97	80499	77956	79.24	71546	72.72
L17D	117175	95444	81.45	95216	92923	79.3	84817	72.38
L19A	129456	105354	81.38	105140	102371	79.08	90447	69.87
L19B	90405	73490	81.29	73400	71792	79.41	64676	71.54
L19C	99903	81652	81.73	81480	79442	79.52	71932	72
L19D	119597	97301	81.36	97151	94632	79.13	86317	72.17
L20A	94262	77069	81.76	76950	75421	80.01	71334	75.68
L20B	120645	98231	81.42	98021	95574	79.22	89795	74.43
L20CD	97497	74933	76.86	74702	52201	53.54	49438	50.71
L22A	127934	106531	83.27	106330	102874	80.41	97425	76.15
L22B	71259	57386	80.53	57184	54380	76.31	51465	72.22
L22C	87257	69460	79.6	69292	59548	68.24	56467	64.71
L22D	93790	77895	83.05	77679	74428	79.36	70181	74.83
L23A	119613	99704	83.36	99576	97511	81.52	93043	77.79
L23D	98685	82067	83.16	81912	80132	81.2	76244	77.26
L24A	113095	94472	83.53	94345	92071	81.41	88048	77.85
L24B	86161	71853	83.39	71687	69974	81.21	66893	77.64
L6A	104665	85041	81.25	84842	82898	79.2	73149	69.89
L6B	83669	69383	82.93	69156	67429	80.59	59356	70.94
L6C	121031	99326	82.07	99142	96279	79.55	89218	73.71
L6D	88905	72680	81.75	72555	70641	79.46	66852	75.19
