sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
E10A	90164	84734	93.98	84367	83815	92.96	80756	89.57
E10B	62500	56619	90.59	56248	55863	89.38	52792	84.47
E10C	92003	86088	93.57	85564	84897	92.28	80674	87.69
E11A	78819	69634	88.35	67553	59666	75.7	57089	72.43
E11B	87696	81534	92.97	81060	80318	91.59	73094	83.35
E11C	95594	87476	91.51	86331	83110	86.94	76921	80.47
E12A	66702	63310	94.91	63070	62981	94.42	57427	86.09
E12B	99901	94892	94.99	94578	94315	94.41	86355	86.44
E12C	146858	139479	94.98	139087	138832	94.53	126716	86.28
E14A	130829	120956	92.45	120199	118978	90.94	112524	86.01
E14B	84586	79092	93.5	78791	78321	92.59	74967	88.63
E14D	80001	73793	92.24	72831	71001	88.75	68892	86.11
E15A	55934	49847	89.12	49241	48168	86.12	44097	78.84
E15C	90660	81504	89.9	80858	79208	87.37	66373	73.21
E15D	91524	83839	91.6	82934	81299	88.83	67379	73.62
E17A	74993	65369	87.17	64104	57942	77.26	53679	71.58
E17B	39698	35492	89.41	34796	32498	81.86	31209	78.62
E17C	52394	46217	88.21	45210	41765	79.71	37643	71.85
E17D	18688	16052	85.89	15837	15409	82.45	14806	79.23
E19A	62548	56461	90.27	55844	54464	87.08	52124	83.33
E19B	96491	86624	89.77	85730	83403	86.44	79082	81.96
E19C	109705	97375	88.76	95610	90281	82.29	85582	78.01
E19D	46879	41857	89.29	41378	40456	86.3	38371	81.85
E20A	86810	81007	93.32	80553	79781	91.9	75756	87.27
E20B	107416	100953	93.98	100353	99352	92.49	93705	87.24
E20C	138402	130508	94.3	130140	129843	93.82	124353	89.85
E22A	101194	95454	94.33	95123	94065	92.96	89358	88.3
E22B	144055	136428	94.71	136151	135807	94.27	128554	89.24
E22D	78502	74023	94.29	73779	73424	93.53	69699	88.79
E23B	86891	79066	90.99	78680	77690	89.41	73488	84.57
E23C	93865	88535	94.32	88291	87957	93.71	84606	90.14
E23D	154959	145983	94.21	145471	144774	93.43	139091	89.76
E24A	135722	124854	91.99	123635	118814	87.54	108684	80.08
E24B	75745	65756	86.81	65291	63620	83.99	55020	72.64
E24C	86781	81823	94.29	81523	81142	93.5	73774	85.01
E6A	127636	118077	92.51	117121	114526	89.73	109547	85.83
E6B	69684	64646	92.77	63597	62079	89.09	59509	85.4
E6D	52666	46597	88.48	46213	45486	86.37	40697	77.27
L10A	77831	73244	94.11	73042	72930	93.7	65610	84.3
L10B	97025	91771	94.58	91537	91445	94.25	80949	83.43
L10C	147240	138673	94.18	138344	137966	93.7	119309	81.03
L10D	91473	86079	94.1	85833	85685	93.67	75139	82.14
L11A	90428	81184	89.78	80660	79951	88.41	73077	80.81
L11B	137382	129787	94.47	129522	129308	94.12	109455	79.67
L11C	137500	129819	94.41	129407	129239	93.99	114027	82.93
L11D	104055	97998	94.18	97544	97090	93.31	87450	84.04
L12A	144574	136776	94.61	136470	135994	94.07	122681	84.86
L12B	111882	106000	94.74	105744	105598	94.38	97694	87.32
L12C	128798	121755	94.53	121225	121004	93.95	111475	86.55
L12D	86194	81501	94.56	81220	81086	94.07	75003	87.02
L14A	117793	111458	94.62	111123	110932	94.18	104284	88.53
L14B	85586	81079	94.73	80729	80515	94.07	73846	86.28
L14C	113203	106614	94.18	106316	106077	93.71	99029	87.48
L14D	90326	85493	94.65	85256	85020	94.13	80516	89.14
L15A	102407	94908	92.68	94535	92912	90.73	88998	86.91
L15B	104089	95756	91.99	95374	94499	90.79	86432	83.04
L15C	146321	136250	93.12	135956	135701	92.74	130014	88.86
L17A	110582	103709	93.78	103469	103338	93.45	90035	81.42
L17B	109557	102150	93.24	101909	101754	92.88	88539	80.82
L17C	98384	92318	93.83	92070	91896	93.41	84011	85.39
L17D	117175	109316	93.29	109122	109043	93.06	99244	84.7
L19A	129456	121346	93.74	121124	120811	93.32	104663	80.85
L19B	90405	84395	93.35	84233	84125	93.05	74491	82.4
L19C	99903	93701	93.79	93509	93410	93.5	83479	83.56
L19D	119597	111711	93.41	111528	111339	93.1	99913	83.54
L20A	94262	88298	93.67	88120	87925	93.28	82197	87.2
L20B	120645	112851	93.54	112609	112469	93.22	104760	86.83
L20CD	97497	88498	90.77	88212	87008	89.24	81435	83.53
L22A	127934	120800	94.42	120515	120265	94.01	112666	88.07
L22B	71259	66821	93.77	66615	66425	93.22	61464	86.25
L22C	87257	81339	93.22	81127	80984	92.81	72967	83.62
L22D	93790	88671	94.54	88421	88111	93.94	81420	86.81
L23A	119613	112895	94.38	112662	112481	94.04	106646	89.16
L23D	98685	93584	94.83	93387	93271	94.51	88138	89.31
L24A	113095	106967	94.58	106713	106517	94.18	101680	89.91
L24B	86161	81734	94.86	81557	81380	94.45	77688	90.17
L6A	104665	98054	93.68	97797	97693	93.34	84932	81.15
L6B	83669	78900	94.3	78689	78516	93.84	68331	81.67
L6C	121031	113384	93.68	113104	112960	93.33	104121	86.03
L6D	88905	83601	94.03	83394	83187	93.57	78098	87.84
