sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
E10A	90164	52644	58.39	52521	51706	57.35	49669	55.09
E10B	62500	30726	49.16	30675	21192	33.91	19987	31.98
E10C	92003	46429	50.46	46315	43365	47.13	41451	45.05
E11A	78819	33071	41.96	32705	22568	28.63	21500	27.28
E11B	87696	44450	50.69	44342	38137	43.49	34470	39.31
E11C	95594	46264	48.4	46080	39467	41.29	36439	38.12
E12A	66702	37469	56.17	37332	37156	55.7	33867	50.77
E12B	99901	55691	55.75	55609	55459	55.51	49957	50.01
E12C	146858	83383	56.78	83259	83086	56.58	74088	50.45
E14A	130829	73183	55.94	73037	68630	52.46	65425	50.01
E14B	84586	49586	58.62	49445	48759	57.64	46579	55.07
E14D	80001	43606	54.51	43455	40803	51	39505	49.38
E15A	55934	26587	47.53	26468	15834	28.31	14989	26.8
E15C	90660	44381	48.95	44171	29071	32.07	24936	27.5
E15D	91524	44386	48.5	44170	37914	41.43	31563	34.49
E17A	74993	30627	40.84	30368	16753	22.34	15540	20.72
E17B	39698	17027	42.89	16861	12154	30.62	11627	29.29
E17C	52394	20631	39.38	20367	11987	22.88	10659	20.34
E17D	18688	6763	36.19	6650	1097	5.87	1043	5.58
E19A	62548	31472	50.32	31333	24592	39.32	23732	37.94
E19B	96491	46660	48.36	46406	34126	35.37	32588	33.77
E19C	109705	47356	43.17	47101	35755	32.59	34298	31.26
E19D	46879	18348	39.14	18264	9153	19.52	8763	18.69
E20A	86810	44686	51.48	44603	41024	47.26	39226	45.19
E20B	107416	59214	55.13	59052	56657	52.75	53584	49.88
E20C	138402	79022	57.1	78887	77893	56.28	74873	54.1
E22A	101194	48655	48.08	48539	46866	46.31	44602	44.08
E22B	144055	81225	56.38	81141	80078	55.59	75316	52.28
E22D	78502	39798	50.7	39722	37912	48.29	35497	45.22
E23B	86891	37454	43.1	37346	26994	31.07	25853	29.75
E23C	93865	52045	55.45	51988	49746	53	47765	50.89
E23D	154959	87199	56.27	87020	85276	55.03	81763	52.76
E24A	135722	57512	42.37	57278	46842	34.51	43404	31.98
E24B	75745	28207	37.24	28045	12990	17.15	11234	14.83
E24C	86781	46240	53.28	46170	45469	52.4	41634	47.98
E6A	127636	69926	54.79	69637	64730	50.71	62020	48.59
E6B	69684	38423	55.14	38189	36392	52.22	34969	50.18
E6D	52666	21607	41.03	21485	8810	16.73	8464	16.07
L10A	77831	43233	55.55	43175	42993	55.24	39198	50.36
L10B	97025	50073	51.61	50034	49812	51.34	44570	45.94
L10C	147240	76310	51.83	76206	76011	51.62	66705	45.3
L10D	91473	49999	54.66	49945	49753	54.39	44055	48.16
L11A	90428	45043	49.81	44955	39247	43.4	36456	40.31
L11B	137382	74539	54.26	74464	72626	52.86	62133	45.23
L11C	137500	73656	53.57	73569	72359	52.62	63929	46.49
L11D	104055	54584	52.46	54465	52285	50.25	47355	45.51
L12A	144574	73728	51	73631	71755	49.63	64634	44.71
L12B	111882	61177	54.68	61124	60326	53.92	56251	50.28
L12C	128798	68257	53	68182	67448	52.37	61885	48.05
L12D	86194	42064	48.8	42013	41699	48.38	38851	45.07
L14A	117793	66311	56.29	66239	65982	56.02	62118	52.73
L14B	85586	43549	50.88	43493	43257	50.54	40078	46.83
L14C	113203	57222	50.55	57159	56934	50.29	53350	47.13
L14D	90326	49919	55.27	49866	49555	54.86	47285	52.35
L15A	102407	52626	51.39	52509	47527	46.41	45737	44.66
L15B	104089	43207	41.51	43153	37489	36.02	34460	33.11
L15C	146321	83680	57.19	83610	81955	56.01	78689	53.78
L17A	110582	61564	55.67	61461	59894	54.16	53079	48
L17B	109557	60548	55.27	60466	58916	53.78	52339	47.77
L17C	98384	55332	56.24	55233	54462	55.36	49956	50.78
L17D	117175	67965	58	67901	67443	57.56	61555	52.53
L19A	129456	67273	51.97	67200	66707	51.53	58722	45.36
L19B	90405	52036	57.56	51997	51741	57.23	46398	51.32
L19C	99903	53384	53.44	53355	53032	53.08	47864	47.91
L19D	119597	65194	54.51	65135	64702	54.1	58600	49
L20A	94262	53409	56.66	53361	53230	56.47	50200	53.26
L20B	120645	69234	57.39	69183	68954	57.15	64593	53.54
L20CD	97497	48196	49.43	48120	37229	38.18	35085	35.99
L22A	127934	74369	58.13	74306	72971	57.04	68857	53.82
L22B	71259	38913	54.61	38818	37384	52.46	35362	49.62
L22C	87257	45057	51.64	44906	39019	44.72	36988	42.39
L22D	93790	54091	57.67	54015	52488	55.96	49371	52.64
L23A	119613	71243	59.56	71194	70892	59.27	67510	56.44
L23D	98685	51916	52.61	51874	51768	52.46	49138	49.79
L24A	113095	67533	59.71	67464	66840	59.1	63879	56.48
L24B	86161	48209	55.95	48129	47608	55.25	45467	52.77
L6A	104665	56058	53.56	55983	55664	53.18	49000	46.82
L6B	83669	45481	54.36	45412	45060	53.86	39413	47.11
L6C	121031	66492	54.94	66386	65716	54.3	60646	50.11
L6D	88905	42989	48.35	42943	42647	47.97	40236	45.26
