sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
E10A	90164	61804	68.55	61591	60775	67.4	58470	64.85
E10B	62500	40088	64.14	39876	39297	62.88	36799	58.88
E10C	92003	61930	67.31	61706	60615	65.88	58064	63.11
E11A	78819	45384	57.58	44288	42546	53.98	40464	51.34
E11B	87696	59131	67.43	58906	58023	66.16	53041	60.48
E11C	95594	61089	63.9	60549	59305	62.04	55008	57.54
E12A	66702	46799	70.16	46691	46166	69.21	42470	63.67
E12B	99901	71258	71.33	71137	70187	70.26	64166	64.23
E12C	146858	105555	71.88	105348	103645	70.57	94086	64.07
E14A	130829	87104	66.58	86730	85754	65.55	81964	62.65
E14B	84586	56283	66.54	56152	55894	66.08	53642	63.42
E14D	80001	50231	62.79	49861	49429	61.79	48073	60.09
E15A	55934	33529	59.94	33266	32892	58.81	30468	54.47
E15C	90660	55964	61.73	55630	54946	60.61	47298	52.17
E15D	91524	58243	63.64	57797	56797	62.06	48126	52.58
E17A	74993	42045	56.07	41347	40048	53.4	36626	48.84
E17B	39698	24205	60.97	23795	23418	58.99	22367	56.34
E17C	52394	29987	57.23	29425	28480	54.36	25867	49.37
E17D	18688	10527	56.33	10416	10324	55.24	9760	52.23
E19A	62548	39676	63.43	39398	38915	62.22	37311	59.65
E19B	96491	60728	62.94	60247	59154	61.31	55532	57.55
E19C	109705	65315	59.54	64533	63089	57.51	59478	54.22
E19D	46879	28359	60.49	28128	27693	59.07	25997	55.46
E20A	86810	57746	66.52	57534	56549	65.14	53962	62.16
E20B	107416	73359	68.29	73009	71896	66.93	68155	63.45
E20C	138402	95541	69.03	95396	94661	68.4	91181	65.88
E22A	101194	68446	67.64	68239	66871	66.08	63004	62.26
E22B	144055	98314	68.25	98120	96723	67.14	90571	62.87
E22D	78502	53386	68.01	53246	52735	67.18	49030	62.46
E23B	86891	54726	62.98	54530	53805	61.92	50921	58.6
E23C	93865	64408	68.62	64324	63510	67.66	60850	64.83
E23D	154959	106986	69.04	106747	105158	67.86	100737	65.01
E24A	135722	86113	63.45	85376	83463	61.5	76850	56.62
E24B	75745	42702	56.38	42391	41548	54.85	36465	48.14
E24C	86781	59171	68.18	59012	58026	66.86	53186	61.29
E6A	127636	84640	66.31	84116	83603	65.5	80214	62.85
E6B	69684	46140	66.21	45644	45229	64.91	43574	62.53
E6D	52666	30482	57.88	30245	29978	56.92	26738	50.77
L10A	77831	52877	67.94	52736	51618	66.32	47299	60.77
L10B	97025	66803	68.85	66664	65008	67	58419	60.21
L10C	147240	100789	68.45	100508	97846	66.45	86707	58.89
L10D	91473	62290	68.1	62161	60473	66.11	53997	59.03
L11A	90428	48735	53.89	48560	47651	52.69	44222	48.9
L11B	137382	96400	70.17	96274	94233	68.59	81453	59.29
L11C	137500	93911	68.3	93712	91915	66.85	82130	59.73
L11D	104055	71017	68.25	70784	69642	66.93	63668	61.19
L12A	144574	99003	68.48	98816	97296	67.3	87590	60.58
L12B	111882	76979	68.8	76873	75586	67.56	70699	63.19
L12C	128798	89112	69.19	88926	86965	67.52	80497	62.5
L12D	86194	58753	68.16	58630	57245	66.41	53646	62.24
L14A	117793	80581	68.41	80432	79106	67.16	74616	63.35
L14B	85586	59021	68.96	58888	57749	67.47	53759	62.81
L14C	113203	76118	67.24	75947	74439	65.76	70086	61.91
L14D	90326	61905	68.54	61818	60845	67.36	57907	64.11
L15A	102407	67524	65.94	67358	66768	65.2	64160	62.65
L15B	104089	66235	63.63	66061	65436	62.87	60214	57.85
L15C	146321	97116	66.37	96968	96196	65.74	92605	63.29
L17A	110582	73433	66.41	73269	71147	64.34	63416	57.35
L17B	109557	70303	64.17	70069	68242	62.29	60804	55.5
L17C	98384	65294	66.37	65125	63685	64.73	58688	59.65
L17D	117175	76048	64.9	75938	74223	63.34	68166	58.17
L19A	129456	85218	65.83	84980	82787	63.95	73687	56.92
L19B	90405	58660	64.89	58546	57268	63.35	51829	57.33
L19C	99903	66761	66.83	66544	64935	65	59177	59.23
L19D	119597	78502	65.64	78379	76469	63.94	69742	58.31
L20A	94262	61651	65.4	61546	60387	64.06	56957	60.42
L20B	120645	78962	65.45	78797	76939	63.77	72164	59.82
L20CD	97497	61472	63.05	61294	60476	62.03	56232	57.68
L22A	127934	87514	68.41	87390	85918	67.16	81020	63.33
L22B	71259	44408	62.32	44224	43494	61.04	40869	57.35
L22C	87257	54269	62.19	54130	53364	61.16	48636	55.74
L22D	93790	63868	68.1	63691	62508	66.65	58684	62.57
L23A	119613	81619	68.24	81491	80242	67.08	76202	63.71
L23D	98685	67098	67.99	66987	65607	66.48	62187	63.02
L24A	113095	77713	68.71	77549	76347	67.51	72950	64.5
L24B	86161	59887	69.51	59748	58862	68.32	56314	65.36
L6A	104665	68277	65.23	68145	66671	63.7	59262	56.62
L6B	83669	57654	68.91	57465	56186	67.15	49866	59.6
L6C	121031	82095	67.83	81955	80351	66.39	74747	61.76
L6D	88905	60098	67.6	59994	58856	66.2	55811	62.78
