1	1160
2	1123
3	1121
4	1121
5	1121
6	1138
7	1124
8	1128
9	1121
10	1121
11	1124
12	1127
13	1133
14	1125
15	1123
16	1125
17	1121
18	1121
19	1121
20	1121
21	1132
22	1121
23	1336
24	1361
25	1372
26	1369
27	1383
28	1396
29	1403
30	1426
31	1422
32	1453
33	1465
34	1438
35	1459
36	50
37	23
38	24
39	54
40	32
41	46
42	65
43	72
44	60
45	111
46	92
47	61
48	99
49	120
50	113
51	164
52	193
53	185
54	126
55	99
56	110
57	145
58	210
59	198
60	194
61	136
62	274
63	226
64	306
65	308
66	345
67	416
68	389
69	375
70	472
71	575
72	581
73	650
74	660
75	711
76	758
77	769
78	777
79	733
80	767
81	805
82	725
83	849
84	850
85	900
86	950
87	918
88	893
89	1067
90	958
91	1027
92	1031
93	948
94	919
95	1046
96	968
97	1021
98	1002
99	1070
100	1149
101	893
102	1052
103	1169
104	1118
105	1093
106	1154
107	1260
108	1257
109	1341
110	1372
111	1420
112	1418
113	1386
114	1416
115	1477
116	1577
117	1607
118	1593
119	1610
120	1561
121	1668
122	1621
123	1646
124	1659
125	1619
126	1820
127	1702
128	1704
129	1741
130	1785
131	1754
132	1894
133	1760
134	1689
135	1771
136	1808
137	1873
138	1834
139	1828
140	1945
141	1909
142	1976
143	2015
144	2016
145	2001
146	2015
147	2135
148	2061
149	2099
150	2105
151	2057
152	2012
153	2121
154	2169
155	2131
156	2148
157	2185
158	2156
159	2307
160	2266
161	2293
162	2311
163	2398
164	2460
165	2585
166	2527
167	2547
168	2585
169	2495
170	2463
171	2609
172	2527
173	2617
174	2612
175	2767
176	2744
177	2700
178	2748
179	2797
180	2756
181	2768
182	2920
183	2927
184	3011
185	3106
186	3143
187	3187
188	3170
189	3144
190	3129
191	3230
192	3218
193	3357
194	3280
195	3281
196	3220
197	3282
198	3258
199	3277
200	3246
201	3396
202	3308
203	3225
204	3265
205	3382
206	3510
207	3406
208	3555
209	3658
210	3620
211	3579
212	3662
213	3707
214	3655
215	3679
216	3660
217	3774
218	3770
219	3794
220	3868
221	3849
222	3833
223	3861
224	3982
225	3852
226	3688
227	3903
228	3977
229	4066
230	4021
231	4026
232	3974
233	4019
234	4053
235	4065
236	4178
237	4193
238	4208
239	4299
240	4316
241	4369
242	4429
243	4402
244	4414
245	4635
246	4538
247	4470
248	4480
249	4723
250	4729
251	4662
252	4702
253	4726
254	4970
255	4890
256	4973
257	4981
258	5113
259	5182
260	5226
261	5343
262	5213
263	5144
264	5293
265	5278
266	5250
267	5239
268	5212
269	5128
270	5403
271	5371
272	5450
273	5396
274	5500
275	5429
276	5499
277	5641
278	5666
279	5584
280	5714
281	5555
282	5649
283	5621
284	5794
285	5750
286	5835
287	5845
288	5739
289	5727
290	5894
291	5882
292	6032
293	6178
294	6117
295	6032
296	6084
297	6143
298	6149
299	6138
300	6172
