sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
E10A	90164	19569	21.7	19496	5530	6.13	5405	5.99
E10B	62500	11861	18.98	11824	5646	9.03	5573	8.92
E10C	92003	14964	16.26	14843	4409	4.79	4375	4.76
E11A	78819	12650	16.05	12502	6113	7.76	6031	7.65
E11B	87696	15212	17.35	15170	5259	6	5167	5.89
E11C	95594	16052	16.79	15737	5857	6.13	5734	6
E12A	66702	12819	19.22	12783	3311	4.96	3215	4.82
E12B	99901	18754	18.77	18690	5244	5.25	4976	4.98
E12C	146858	28890	19.67	28853	8561	5.83	8091	5.51
E14A	130829	28003	21.4	27925	8256	6.31	8210	6.28
E14B	84586	18360	21.71	18335	4803	5.68	4662	5.51
E14D	80001	16165	20.21	16063	4310	5.39	4275	5.34
E15A	55934	10744	19.21	10630	5455	9.75	5114	9.14
E15C	90660	18260	20.14	18144	8225	9.07	7640	8.43
E15D	91524	15212	16.62	15060	4244	4.64	4068	4.44
E17A	74993	12474	16.63	12255	7360	9.81	7147	9.53
E17B	39698	6137	15.46	6060	2851	7.18	2821	7.11
E17C	52394	7588	14.48	7508	3855	7.36	3791	7.24
E17D	18688	2723	14.57	2690	2243	12	2217	11.86
E19A	62548	12329	19.71	12269	5158	8.25	5121	8.19
E19B	96491	18522	19.2	18408	8637	8.95	8429	8.74
E19C	109705	16805	15.32	16719	7378	6.73	7196	6.56
E19D	46879	6495	13.85	6395	3905	8.33	3799	8.1
E20A	86810	14737	16.98	14666	4294	4.95	4272	4.92
E20B	107416	20599	19.18	20532	5453	5.08	5427	5.05
E20C	138402	27983	20.22	27852	7352	5.31	7314	5.28
E22A	101194	13441	13.28	13359	3077	3.04	3031	3
E22B	144055	27791	19.29	27723	5745	3.99	5634	3.91
E22D	78502	12166	15.5	12053	2872	3.66	2795	3.56
E23B	86891	12265	14.12	12215	5580	6.42	5536	6.37
E23C	93865	18068	19.25	18047	4756	5.07	4720	5.03
E23D	154959	30804	19.88	30739	8317	5.37	8119	5.24
E24A	135722	17600	12.97	17443	5974	4.4	5913	4.36
E24B	75745	10255	13.54	10058	6038	7.97	5626	7.43
E24C	86781	14919	17.19	14870	3093	3.56	3041	3.5
E6A	127636	26081	20.43	25945	8711	6.82	8551	6.7
E6B	69684	14140	20.29	14084	4380	6.29	4357	6.25
E6D	52666	8157	15.49	8101	4881	9.27	4493	8.53
L10A	77831	14729	18.92	14716	3080	3.96	3045	3.91
L10B	97025	14890	15.35	14831	2850	2.94	2820	2.91
L10C	147240	23321	15.84	23290	4866	3.3	4785	3.25
L10D	91473	16178	17.69	16104	3027	3.31	2993	3.27
L11A	90428	14519	16.06	14336	3282	3.63	3167	3.5
L11B	137382	24625	17.92	24455	6006	4.37	5718	4.16
L11C	137500	25122	18.27	24911	4823	3.51	4626	3.36
L11D	104055	18756	18.03	18616	4474	4.3	4350	4.18
L12A	144574	23514	16.26	23360	5589	3.87	5433	3.76
L12B	111882	21245	18.99	21010	4596	4.11	4551	4.07
L12C	128798	22432	17.42	22417	5130	3.98	4991	3.88
L12D	86194	12518	14.52	12360	2231	2.59	2173	2.52
L14A	117793	23723	20.14	23511	5045	4.28	4997	4.24
L14B	85586	13820	16.15	13773	2662	3.11	2643	3.09
L14C	113203	17709	15.64	17651	3886	3.43	3857	3.41
L14D	90326	17730	19.63	17710	3788	4.19	3765	4.17
L15A	102407	19152	18.7	19088	6268	6.12	6143	6
L15B	104089	13347	12.82	13295	4176	4.01	4138	3.98
L15C	146321	30474	20.83	30349	7814	5.34	7774	5.31
L17A	110582	21115	19.09	20927	4476	4.05	4207	3.8
L17B	109557	20551	18.76	20514	3993	3.64	3949	3.6
L17C	98384	19030	19.34	18877	3894	3.96	3803	3.87
L17D	117175	24555	20.96	24534	5180	4.42	5031	4.29
L19A	129456	20665	15.96	20534	3711	2.87	3692	2.85
L19B	90405	18735	20.72	18617	2926	3.24	2908	3.22
L19C	99903	17276	17.29	17198	3437	3.44	3378	3.38
L19D	119597	21604	18.06	21567	4854	4.06	4791	4.01
L20A	94262	18449	19.57	18405	3669	3.89	3614	3.83
L20B	120645	24247	20.1	24151	5129	4.25	5050	4.19
L20CD	97497	17750	18.21	17685	7389	7.58	7214	7.4
L22A	127934	27453	21.46	27408	6186	4.84	6119	4.78
L22B	71259	12327	17.3	12282	2327	3.27	2315	3.25
L22C	87257	14631	16.77	14483	4188	4.8	3459	3.96
L22D	93790	19591	20.89	19488	4516	4.82	4446	4.74
L23A	119613	26455	22.12	26439	6029	5.04	5965	4.99
L23D	98685	15843	16.05	15711	3302	3.35	3276	3.32
L24A	113095	25403	22.46	25361	6142	5.43	6036	5.34
L24B	86161	16263	18.88	16128	3957	4.59	3861	4.48
L6A	104665	17552	16.77	17543	2606	2.49	2598	2.48
L6B	83669	14919	17.83	14824	2804	3.35	2769	3.31
L6C	121031	22289	18.42	22179	4704	3.89	4658	3.85
L6D	88905	12014	13.51	11961	2548	2.87	2485	2.8
