sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
E10A	90164	57242	63.49	57095	56915	63.12	54727	60.7
E10B	62500	35736	57.18	35653	35292	56.47	33090	52.94
E10C	92003	55180	59.98	55027	54362	59.09	52060	56.59
E11A	78819	39232	49.77	38469	37818	47.98	35860	45.5
E11B	87696	52592	59.97	52413	51979	59.27	47529	54.2
E11C	95594	54121	56.62	53790	53112	55.56	49337	51.61
E12A	66702	42815	64.19	42714	42421	63.6	38839	58.23
E12B	99901	64694	64.76	64622	64152	64.22	58272	58.33
E12C	146858	96053	65.41	95895	95089	64.75	85339	58.11
E14A	130829	79885	61.06	79616	79189	60.53	75567	57.76
E14B	84586	52374	61.92	52251	52082	61.57	49950	59.05
E14D	80001	46341	57.93	46074	45860	57.32	44577	55.72
E15A	55934	29929	53.51	29681	29507	52.75	27303	48.81
E15C	90660	50030	55.18	49816	49347	54.43	42712	47.11
E15D	91524	51847	56.65	51547	50858	55.57	43177	47.18
E17A	74993	36390	48.52	35936	35284	47.05	32062	42.75
E17B	39698	20886	52.61	20634	20396	51.38	19465	49.03
E17C	52394	25541	48.75	25206	24683	47.11	22153	42.28
E17D	18688	8853	47.37	8729	8655	46.31	8222	44
E19A	62548	35678	57.04	35474	35222	56.31	33685	53.85
E19B	96491	53935	55.9	53614	53268	55.21	49952	51.77
E19C	109705	57130	52.08	56554	56021	51.07	52698	48.04
E19D	46879	23903	50.99	23726	23592	50.33	22079	47.1
E20A	86810	51893	59.78	51710	51378	59.18	49084	56.54
E20B	107416	66852	62.24	66634	66084	61.52	62658	58.33
E20C	138402	87971	63.56	87801	87473	63.2	84266	60.88
E22A	101194	60040	59.33	59804	59166	58.47	56288	55.62
E22B	144055	90216	62.63	90064	89621	62.21	84285	58.51
E22D	78502	47434	60.42	47346	46978	59.84	43992	56.04
E23B	86891	47197	54.32	47057	46704	53.75	44215	50.89
E23C	93865	58676	62.51	58607	58169	61.97	55709	59.35
E23D	154959	97942	63.21	97756	97030	62.62	92959	59.99
E24A	135722	73246	53.97	72821	71924	52.99	66336	48.88
E24B	75745	36067	47.62	35843	35362	46.69	31070	41.02
E24C	86781	53270	61.38	53151	52495	60.49	48253	55.6
E6A	127636	77296	60.56	76955	76600	60.01	73524	57.6
E6B	69684	42229	60.6	41928	41670	59.8	40127	57.58
E6D	52666	26240	49.82	26043	25880	49.14	23194	44.04
L10A	77831	48323	62.09	48183	47578	61.13	43866	56.36
L10B	97025	59666	61.5	59561	58659	60.46	53083	54.71
L10C	147240	90180	61.25	89993	88564	60.15	78909	53.59
L10D	91473	56619	61.9	56532	55656	60.84	49868	54.52
L11A	90428	44623	49.35	44392	43770	48.4	40629	44.93
L11B	137382	87026	63.35	86926	85801	62.45	74105	53.94
L11C	137500	85510	62.19	85399	84425	61.4	75341	54.79
L11D	104055	64051	61.55	63871	63269	60.8	57655	55.41
L12A	144574	88664	61.33	88528	87774	60.71	78926	54.59
L12B	111882	70130	62.68	70043	69372	62	64926	58.03
L12C	128798	80509	62.51	80367	79361	61.62	73323	56.93
L12D	86194	52065	60.4	51863	51171	59.37	47925	55.6
L14A	117793	74234	63.02	74118	73551	62.44	69444	58.95
L14B	85586	52752	61.64	52662	52036	60.8	48566	56.75
L14C	113203	68383	60.41	68305	67511	59.64	63609	56.19
L14D	90326	56707	62.78	56650	56172	62.19	53543	59.28
L15A	102407	61024	59.59	60864	60492	59.07	58108	56.74
L15B	104089	56864	54.63	56770	56347	54.13	51962	49.92
L15C	146321	89890	61.43	89795	89228	60.98	85840	58.67
L17A	110582	67501	61.04	67368	66207	59.87	59124	53.47
L17B	109557	64845	59.19	64680	63476	57.94	56885	51.92
L17C	98384	60187	61.18	60070	59207	60.18	54599	55.5
L17D	117175	70837	60.45	70742	69777	59.55	64241	54.82
L19A	129456	77063	59.53	76936	75457	58.29	67542	52.17
L19B	90405	54500	60.28	54451	53619	59.31	48773	53.95
L19C	99903	60729	60.79	60606	59696	59.75	54563	54.62
L19D	119597	71933	60.15	71855	70695	59.11	64664	54.07
L20A	94262	57050	60.52	56969	56319	59.75	53384	56.63
L20B	120645	73294	60.75	73172	72202	59.85	68003	56.37
L20CD	97497	55018	56.43	54858	54413	55.81	50715	52.02
L22A	127934	80969	63.29	80821	80008	62.54	75592	59.09
L22B	71259	41021	57.57	40865	40445	56.76	38084	53.44
L22C	87257	49533	56.77	49355	48982	56.14	44833	51.38
L22D	93790	58922	62.82	58820	58216	62.07	54692	58.31
L23A	119613	76038	63.57	75957	75524	63.14	71926	60.13
L23D	98685	60378	61.18	60296	59774	60.57	56757	57.51
L24A	113095	72301	63.93	72191	71616	63.32	68521	60.59
L24B	86161	54651	63.43	54547	54107	62.8	51721	60.03
L6A	104665	62396	59.61	62313	61390	58.65	54856	52.41
L6B	83669	52341	62.56	52226	51459	61.5	45761	54.69
L6C	121031	74871	61.86	74790	73891	61.05	68771	56.82
L6D	88905	52929	59.53	52839	52287	58.81	49626	55.82
