sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
E10A	90164	19158	21.25	19123	19101	21.18	18351	20.35
E10B	62500	11394	18.23	11336	11299	18.08	10775	17.24
E10C	92003	14562	15.83	14507	14480	15.74	13779	14.98
E11A	78819	12163	15.43	12048	11912	15.11	11482	14.57
E11B	87696	14796	16.87	14675	14639	16.69	13672	15.59
E11C	95594	15574	16.29	15425	15353	16.06	14500	15.17
E12A	66702	12581	18.86	12558	12539	18.8	11307	16.95
E12B	99901	18424	18.44	18403	18390	18.41	16322	16.34
E12C	146858	28365	19.31	28339	28300	19.27	25098	17.09
E14A	130829	27162	20.76	27116	27030	20.66	25630	19.59
E14B	84586	17956	21.23	17938	17933	21.2	17161	20.29
E14D	80001	15698	19.62	15632	15604	19.5	15136	18.92
E15A	55934	10217	18.27	10097	10071	18.01	9445	16.89
E15C	90660	17455	19.25	17301	17233	19.01	14428	15.91
E15D	91524	14723	16.09	14656	14571	15.92	12333	13.48
E17A	74993	11800	15.73	11659	11525	15.37	10813	14.42
E17B	39698	5900	14.86	5854	5818	14.66	5507	13.87
E17C	52394	7205	13.75	7086	7053	13.46	6673	12.74
E17D	18688	2530	13.54	2499	2476	13.25	2389	12.78
E19A	62548	11881	19	11821	11733	18.76	11291	18.05
E19B	96491	17735	18.38	17590	17548	18.19	16652	17.26
E19C	109705	16195	14.76	16090	16054	14.63	15322	13.97
E19D	46879	6188	13.2	6160	6126	13.07	5867	12.52
E20A	86810	14406	16.59	14373	14331	16.51	13674	15.75
E20B	107416	20156	18.76	20113	20075	18.69	19107	17.79
E20C	138402	27398	19.8	27370	27340	19.75	26292	19
E22A	101194	13149	12.99	13093	13025	12.87	12532	12.38
E22B	144055	27263	18.93	27242	27208	18.89	25861	17.95
E22D	78502	11906	15.17	11860	11805	15.04	11123	14.17
E23B	86891	11786	13.56	11764	11741	13.51	11280	12.98
E23C	93865	17680	18.84	17659	17638	18.79	16952	18.06
E23D	154959	30188	19.48	30139	30127	19.44	28902	18.65
E24A	135722	17028	12.55	16921	16806	12.38	15808	11.65
E24B	75745	9593	12.66	9501	9426	12.44	8331	11
E24C	86781	14623	16.85	14595	14557	16.77	13437	15.48
E6A	127636	25387	19.89	25298	25235	19.77	24183	18.95
E6B	69684	13828	19.84	13752	13707	19.67	13151	18.87
E6D	52666	7688	14.6	7604	7589	14.41	6831	12.97
L10A	77831	14420	18.53	14387	14316	18.39	13251	17.03
L10B	97025	14575	15.02	14522	14478	14.92	13179	13.58
L10C	147240	22809	15.49	22790	22777	15.47	20359	13.83
L10D	91473	15849	17.33	15840	15804	17.28	14222	15.55
L11A	90428	13941	15.42	13916	13896	15.37	12888	14.25
L11B	137382	24124	17.56	24100	24077	17.53	20742	15.1
L11C	137500	24602	17.89	24571	24560	17.86	21693	15.78
L11D	104055	18324	17.61	18244	18182	17.47	16656	16.01
L12A	144574	23057	15.95	23037	23028	15.93	20589	14.24
L12B	111882	20860	18.64	20840	20810	18.6	19520	17.45
L12C	128798	21935	17.03	21906	21885	16.99	20016	15.54
L12D	86194	12282	14.25	12272	12236	14.2	11384	13.21
L14A	117793	23208	19.7	23155	23136	19.64	21918	18.61
L14B	85586	13550	15.83	13531	13525	15.8	12633	14.76
L14C	113203	17343	15.32	17321	17311	15.29	16368	14.46
L14D	90326	17375	19.24	17342	17323	19.18	16573	18.35
L15A	102407	18621	18.18	18591	18527	18.09	17823	17.4
L15B	104089	12924	12.42	12890	12839	12.33	11935	11.47
L15C	146321	29615	20.24	29573	29540	20.19	28376	19.39
L17A	110582	20584	18.61	20574	20498	18.54	18173	16.43
L17B	109557	19996	18.25	19949	19895	18.16	17862	16.3
L17C	98384	18561	18.87	18543	18534	18.84	17122	17.4
L17D	117175	23898	20.4	23825	23818	20.33	21938	18.72
L19A	129456	20168	15.58	20087	20074	15.51	18076	13.96
L19B	90405	18196	20.13	18153	18118	20.04	16550	18.31
L19C	99903	16884	16.9	16873	16840	16.86	15433	15.45
L19D	119597	21056	17.61	21039	21031	17.58	19288	16.13
L20A	94262	17983	19.08	17961	17958	19.05	17154	18.2
L20B	120645	23632	19.59	23615	23540	19.51	22310	18.49
L20CD	97497	17023	17.46	16974	16930	17.36	16003	16.41
L22A	127934	26926	21.05	26860	26811	20.96	25374	19.83
L22B	71259	12022	16.87	12004	11952	16.77	11242	15.78
L22C	87257	14179	16.25	14167	14097	16.16	12603	14.44
L22D	93790	19206	20.48	19191	19093	20.36	17931	19.12
L23A	119613	25924	21.67	25909	25897	21.65	24844	20.77
L23D	98685	15530	15.74	15518	15511	15.72	14769	14.97
L24A	113095	24922	22.04	24869	24840	21.96	23737	20.99
L24B	86161	15973	18.54	15935	15930	18.49	15211	17.65
L6A	104665	17143	16.38	17136	17131	16.37	15374	14.69
L6B	83669	14622	17.48	14609	14608	17.46	13005	15.54
L6C	121031	21740	17.96	21704	21700	17.93	20219	16.71
L6D	88905	11741	13.21	11730	11728	13.19	11165	12.56
