sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
E10A	90164	78576	87.15	78309	51	0.06	51	0.06
E10B	62500	50949	81.52	50719	124	0.2	124	0.2
E10C	92003	77608	84.35	77269	80	0.09	80	0.09
E11A	78819	58879	74.7	57533	1920	2.44	1814	2.3
E11B	87696	73647	83.98	73341	69	0.08	47	0.05
E11C	95594	77724	81.31	76965	532	0.56	509	0.53
E12A	66702	58576	87.82	58429	10	0.01	10	0.01
E12B	99901	87359	87.45	87154	64	0.06	64	0.06
E12C	146858	128682	87.62	128399	10	0.01	10	0.01
E14A	130829	111435	85.18	110914	138	0.11	138	0.11
E14B	84586	73806	87.26	73599	26	0.03	26	0.03
E14D	80001	67506	84.38	66896	233	0.29	233	0.29
E15A	55934	44571	79.68	44124	182	0.33	140	0.25
E15C	90660	73291	80.84	72870	422	0.47	396	0.44
E15D	91524	75120	82.08	74597	299	0.33	248	0.27
E17A	74993	56118	74.83	55205	1479	1.97	1314	1.75
E17B	39698	30766	77.5	30289	336	0.85	336	0.85
E17C	52394	39226	74.87	38608	778	1.48	778	1.48
E17D	18688	13863	74.18	13666	56	0.3	56	0.3
E19A	62548	50948	81.45	50515	281	0.45	281	0.45
E19B	96491	77438	80.25	76906	717	0.74	689	0.71
E19C	109705	84900	77.39	83837	1794	1.64	1676	1.53
E19D	46879	36197	77.21	35902	164	0.35	161	0.34
E20A	86810	73486	84.65	73170	76	0.09	76	0.09
E20B	107416	92365	85.99	91961	127	0.12	113	0.11
E20C	138402	120862	87.33	120639	0	0	0	0
E22A	101194	85618	84.61	85393	25	0.02	25	0.02
E22B	144055	125822	87.34	125603	14	0.01	14	0.01
E22D	78502	67072	85.44	66881	7	0.01	7	0.01
E23B	86891	69461	79.94	69159	188	0.22	182	0.21
E23C	93865	81426	86.75	81254	31	0.03	31	0.03
E23D	154959	134485	86.79	134125	68	0.04	68	0.04
E24A	135722	108294	79.79	107544	887	0.65	866	0.64
E24B	75745	56435	74.51	56117	267	0.35	261	0.34
E24C	86781	74664	86.04	74459	29	0.03	29	0.03
E6A	127636	107800	84.46	107116	364	0.29	361	0.28
E6B	69684	59058	84.75	58417	180	0.26	180	0.26
E6D	52666	40619	77.13	40326	193	0.37	175	0.33
L10A	77831	67463	86.68	67309	0	0	0	0
L10B	97025	83503	86.06	83329	0	0	0	0
L10C	147240	125962	85.55	125726	17	0.01	17	0.01
L10D	91473	79024	86.39	78852	45	0.05	45	0.05
L11A	90428	74230	82.09	73774	87	0.1	87	0.1
L11B	137382	118835	86.5	118576	0	0	0	0
L11C	137500	119426	86.86	119091	0	0	0	0
L11D	104055	89431	85.95	89145	42	0.04	42	0.04
L12A	144574	124770	86.3	124533	3	0	3	0
L12B	111882	97629	87.26	97440	11	0.01	11	0.01
L12C	128798	111749	86.76	111498	6	0	6	0
L12D	86194	73524	85.3	73298	12	0.01	12	0.01
L14A	117793	103042	87.48	102772	0	0	0	0
L14B	85586	73775	86.2	73484	0	0	0	0
L14C	113203	97344	85.99	97128	0	0	0	0
L14D	90326	78867	87.31	78725	4	0	4	0
L15A	102407	86494	84.46	86231	0	0	0	0
L15B	104089	84600	81.28	84338	25	0.02	25	0.02
L15C	146321	126533	86.48	126363	36	0.02	31	0.02
L17A	110582	95803	86.64	95610	0	0	0	0
L17B	109557	94512	86.27	94312	3	0	3	0
L17C	98384	85444	86.85	85240	7	0.01	7	0.01
L17D	117175	101917	86.98	101776	10	0.01	10	0.01
L19A	129456	110999	85.74	110848	6	0	6	0
L19B	90405	78500	86.83	78400	8	0.01	8	0.01
L19C	99903	86053	86.14	85920	4	0	4	0
L19D	119597	103035	86.15	102873	0	0	0	0
L20A	94262	81916	86.9	81784	0	0	0	0
L20B	120645	104661	86.75	104495	4	0	4	0
L20CD	97497	79780	81.83	79509	78	0.08	72	0.07
L22A	127934	112004	87.55	111811	12	0.01	12	0.01
L22B	71259	61980	86.98	61789	0	0	0	0
L22C	87257	74527	85.41	74332	0	0	0	0
L22D	93790	82148	87.59	81959	8	0.01	8	0.01
L23A	119613	105289	88.02	105131	8	0.01	8	0.01
L23D	98685	85291	86.43	85177	6	0.01	6	0.01
L24A	113095	99733	88.19	99536	3	0	3	0
L24B	86161	75200	87.28	75062	0	0	0	0
L6A	104665	90094	86.08	89923	0	0	0	0
L6B	83669	72415	86.55	72244	17	0.02	17	0.02
L6C	121031	104542	86.38	104326	0	0	0	0
L6D	88905	75132	84.51	74984	0	0	0	0
