sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
E10A	90164	19016	21.09	18981	18891	20.95	18148	20.13
E10B	62500	11240	17.98	11205	11092	17.75	10573	16.92
E10C	92003	14443	15.7	14389	14259	15.5	13667	14.85
E11A	78819	12012	15.24	11883	11714	14.86	11241	14.26
E11B	87696	14653	16.71	14628	14505	16.54	13533	15.43
E11C	95594	15430	16.14	15336	15171	15.87	14290	14.95
E12A	66702	12490	18.73	12476	12376	18.55	11276	16.91
E12B	99901	18301	18.32	18272	18124	18.14	16312	16.33
E12C	146858	28151	19.17	28126	27921	19.01	25002	17.02
E14A	130829	26914	20.57	26851	26682	20.39	25475	19.47
E14B	84586	17817	21.06	17800	17723	20.95	17010	20.11
E14D	80001	15564	19.45	15448	15377	19.22	14944	18.68
E15A	55934	10065	17.99	10018	9895	17.69	9212	16.47
E15C	90660	17184	18.95	17138	16899	18.64	13917	15.35
E15D	91524	14564	15.91	14503	14254	15.57	12236	13.37
E17A	74993	11609	15.48	11445	11294	15.06	10598	14.13
E17B	39698	5839	14.71	5785	5747	14.48	5525	13.92
E17C	52394	7093	13.54	7025	6957	13.28	6503	12.41
E17D	18688	2468	13.21	2407	2365	12.66	2276	12.18
E19A	62548	11743	18.77	11681	11544	18.46	11145	17.82
E19B	96491	17514	18.15	17402	17319	17.95	16439	17.04
E19C	109705	16009	14.59	15903	15806	14.41	15057	13.72
E19D	46879	6093	13	6070	6015	12.83	5757	12.28
E20A	86810	14286	16.46	14231	14129	16.28	13553	15.61
E20B	107416	20017	18.64	19972	19787	18.42	18870	17.57
E20C	138402	27199	19.65	27160	27009	19.51	26082	18.85
E22A	101194	13044	12.89	13011	12898	12.75	12325	12.18
E22B	144055	27050	18.78	26969	26773	18.59	25334	17.59
E22D	78502	11809	15.04	11748	11577	14.75	10837	13.8
E23B	86891	11637	13.39	11544	11435	13.16	11009	12.67
E23C	93865	17541	18.69	17522	17404	18.54	16740	17.83
E23D	154959	29957	19.33	29905	29744	19.19	28508	18.4
E24A	135722	16834	12.4	16715	16536	12.18	15475	11.4
E24B	75745	9399	12.41	9329	9254	12.22	7937	10.48
E24C	86781	14506	16.72	14435	14364	16.55	13229	15.24
E6A	127636	25165	19.72	25063	25000	19.59	23993	18.8
E6B	69684	13694	19.65	13588	13513	19.39	13053	18.73
E6D	52666	7557	14.35	7437	6955	13.21	6458	12.26
L10A	77831	14287	18.36	14255	13949	17.92	12976	16.67
L10B	97025	14458	14.9	14448	14098	14.53	12934	13.33
L10C	147240	22614	15.36	22596	22098	15.01	20049	13.62
L10D	91473	15694	17.16	15663	15284	16.71	13908	15.2
L11A	90428	13707	15.16	13681	13516	14.95	12613	13.95
L11B	137382	23878	17.38	23743	23423	17.05	20455	14.89
L11C	137500	24386	17.74	24357	24054	17.49	21580	15.69
L11D	104055	18163	17.46	18135	17945	17.25	16408	15.77
L12A	144574	22850	15.81	22789	22605	15.64	20402	14.11
L12B	111882	20706	18.51	20686	20464	18.29	19199	17.16
L12C	128798	21746	16.88	21732	21513	16.7	19805	15.38
L12D	86194	12184	14.14	12175	11931	13.84	11191	12.98
L14A	117793	23001	19.53	22974	22767	19.33	21609	18.34
L14B	85586	13436	15.7	13417	13290	15.53	12491	14.59
L14C	113203	17167	15.16	17145	16952	14.97	16099	14.22
L14D	90326	17217	19.06	17183	17011	18.83	16335	18.08
L15A	102407	18428	17.99	18392	18251	17.82	17611	17.2
L15B	104089	12798	12.3	12757	12598	12.1	11759	11.3
L15C	146321	29390	20.09	29319	29110	19.89	28068	19.18
L17A	110582	20423	18.47	20408	20003	18.09	17962	16.24
L17B	109557	19812	18.08	19759	19412	17.72	17576	16.04
L17C	98384	18399	18.7	18379	18191	18.49	16848	17.12
L17D	117175	23693	20.22	23629	23343	19.92	21559	18.4
L19A	129456	19985	15.44	19915	19537	15.09	17876	13.81
L19B	90405	18038	19.95	18000	17659	19.53	16315	18.05
L19C	99903	16723	16.74	16710	16383	16.4	15220	15.23
L19D	119597	20866	17.45	20849	20503	17.14	18939	15.84
L20A	94262	17813	18.9	17792	17613	18.69	16729	17.75
L20B	120645	23390	19.39	23371	23021	19.08	21800	18.07
L20CD	97497	16819	17.25	16718	16564	16.99	15723	16.13
L22A	127934	26710	20.88	26631	26357	20.6	24957	19.51
L22B	71259	11886	16.68	11859	11717	16.44	11074	15.54
L22C	87257	14007	16.05	13923	13665	15.66	12246	14.03
L22D	93790	19050	20.31	19025	18733	19.97	17630	18.8
L23A	119613	25722	21.5	25706	25535	21.35	24425	20.42
L23D	98685	15415	15.62	15379	15272	15.48	14510	14.7
L24A	113095	24743	21.88	24722	24595	21.75	23501	20.78
L24B	86161	15859	18.41	15842	15777	18.31	15070	17.49
L6A	104665	16991	16.23	16942	16711	15.97	15298	14.62
L6B	83669	14513	17.35	14440	14226	17	12888	15.4
L6C	121031	21564	17.82	21494	21269	17.57	19953	16.49
L6D	88905	11654	13.11	11645	11537	12.98	11021	12.4
