sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
E10A	90164	69130	76.67	68926	67477	74.84	64814	71.88
E10B	62500	43244	69.19	43152	27548	44.08	25954	41.53
E10C	92003	65593	71.29	65345	60090	65.31	57484	62.48
E11A	78819	48039	60.95	47094	30372	38.53	28936	36.71
E11B	87696	62389	71.14	62182	51366	58.57	46547	53.08
E11C	95594	65151	68.15	64723	53303	55.76	49262	51.53
E12A	66702	50866	76.26	50772	50453	75.64	45975	68.93
E12B	99901	75730	75.81	75575	75305	75.38	67935	68
E12C	146858	111985	76.25	111809	111478	75.91	99378	67.67
E14A	130829	96738	73.94	96412	89146	68.14	84906	64.9
E14B	84586	64921	76.75	64758	63503	75.08	60696	71.76
E14D	80001	58571	73.21	58198	53685	67.11	52012	65.01
E15A	55934	37482	67.01	37219	20879	37.33	19661	35.15
E15C	90660	62065	68.46	61796	37794	41.69	32633	35.99
E15D	91524	62853	68.67	62534	52152	56.98	43858	47.92
E17A	74993	45727	60.98	45097	22689	30.25	20848	27.8
E17B	39698	25164	63.39	24771	16365	41.22	15705	39.56
E17C	52394	31596	60.3	31090	16495	31.48	14588	27.84
E17D	18688	10996	58.84	10840	1580	8.45	1507	8.06
E19A	62548	43384	69.36	43135	32058	51.25	30983	49.53
E19B	96491	65437	67.82	65048	44924	46.56	42676	44.23
E19C	109705	70033	63.84	69342	48645	44.34	46754	42.62
E19D	46879	29039	61.94	28852	12416	26.49	11887	25.36
E20A	86810	62645	72.16	62444	55846	64.33	53316	61.42
E20B	107416	79963	74.44	79654	75382	70.18	71287	66.37
E20C	138402	105505	76.23	105292	103493	74.78	99484	71.88
E22A	101194	71306	70.46	71134	67691	66.89	64358	63.6
E22B	144055	109423	75.96	109245	107456	74.59	101002	70.11
E22D	78502	56473	71.94	56346	53104	67.65	49769	63.4
E23B	86891	56808	65.38	56611	37134	42.74	35517	40.88
E23C	93865	70469	75.07	70368	66457	70.8	63821	67.99
E23D	154959	117012	75.51	116748	113578	73.3	108994	70.34
E24A	135722	87906	64.77	87367	66733	49.17	61651	45.42
E24B	75745	45075	59.51	44758	18509	24.44	15922	21.02
E24C	86781	63589	73.28	63442	62166	71.64	56850	65.51
E6A	127636	93358	73.14	92861	84708	66.37	81199	63.62
E6B	69684	51323	73.65	50841	47716	68.47	45857	65.81
E6D	52666	32946	62.56	32699	11876	22.55	11344	21.54
L10A	77831	58280	74.88	58191	57905	74.4	52849	67.9
L10B	97025	70566	72.73	70446	70159	72.31	62759	64.68
L10C	147240	106848	72.57	106692	106266	72.17	93390	63.43
L10D	91473	68093	74.44	67962	67649	73.96	59893	65.48
L11A	90428	63562	70.29	63394	53569	59.24	49748	55.01
L11B	137382	102115	74.33	101964	99318	72.29	84901	61.8
L11C	137500	102673	74.67	102549	100897	73.38	89062	64.77
L11D	104055	76486	73.51	76267	72245	69.43	65328	62.78
L12A	144574	105733	73.13	105609	102327	70.78	91957	63.61
L12B	111882	84141	75.21	84044	82746	73.96	77121	68.93
L12C	128798	95755	74.35	95602	94635	73.48	86782	67.38
L12D	86194	61585	71.45	61443	60945	70.71	56550	65.61
L14A	117793	89803	76.24	89627	89196	75.72	83897	71.22
L14B	85586	62490	73.01	62319	61898	72.32	57301	66.95
L14C	113203	82412	72.8	82266	81766	72.23	76574	67.64
L14D	90326	68353	75.67	68262	67646	74.89	64333	71.22
L15A	102407	73914	72.18	73711	64558	63.04	62064	60.61
L15B	104089	68799	66.1	68634	55563	53.38	51023	49.02
L15C	146321	110515	75.53	110317	107981	73.8	103695	70.87
L17A	110582	82982	75.04	82846	80687	72.97	71382	64.55
L17B	109557	81836	74.7	81722	79599	72.66	70673	64.51
L17C	98384	74275	75.49	74124	73034	74.23	66957	68.06
L17D	117175	89488	76.37	89399	88785	75.77	81000	69.13
L19A	129456	94357	72.89	94233	93508	72.23	82531	63.75
L19B	90405	68822	76.13	68755	68355	75.61	61361	67.87
L19C	99903	73866	73.94	73795	73403	73.47	66190	66.25
L19D	119597	88998	74.41	88894	88233	73.78	79936	66.84
L20A	94262	71306	75.65	71210	70985	75.31	66939	71.01
L20B	120645	91663	75.98	91546	91219	75.61	85360	70.75
L20CD	97497	67637	69.37	67517	49130	50.39	46369	47.56
L22A	127934	97964	76.57	97832	95983	75.03	90567	70.79
L22B	71259	53642	75.28	53536	51581	72.39	48613	68.22
L22C	87257	63413	72.67	63275	55199	63.26	52165	59.78
L22D	93790	71735	76.48	71595	69552	74.16	65400	69.73
L23A	119613	93115	77.85	93024	92556	77.38	88067	73.63
L23D	98685	72495	73.46	72398	72240	73.2	68526	69.44
L24A	113095	88014	77.82	87875	87081	77	83211	73.58
L24B	86161	65090	75.54	64990	64241	74.56	61294	71.14
L6A	104665	77265	73.82	77140	76588	73.17	67460	64.45
L6B	83669	62247	74.4	62125	61581	73.6	54044	64.59
L6C	121031	90268	74.58	90122	88977	73.52	82296	68
L6D	88905	62574	70.38	62436	62003	69.74	58515	65.82
