sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
E10A	90164	79514	88.19	79182	77	0.09	77	0.09
E10B	62500	52030	83.25	51768	135	0.22	135	0.22
E10C	92003	79702	86.63	79349	86	0.09	86	0.09
E11A	78819	60606	76.89	59016	2028	2.57	1876	2.38
E11B	87696	75472	86.06	75139	99	0.11	75	0.09
E11C	95594	79703	83.38	78878	621	0.65	597	0.62
E12A	66702	59655	89.44	59486	4	0.01	4	0.01
E12B	99901	89350	89.44	89086	33	0.03	33	0.03
E12C	146858	131248	89.37	130945	6	0	6	0
E14A	130829	113021	86.39	112470	130	0.1	130	0.1
E14B	84586	74332	87.88	74114	28	0.03	28	0.03
E14D	80001	68129	85.16	67508	260	0.32	260	0.32
E15A	55934	45258	80.91	44844	186	0.33	143	0.26
E15C	90660	74582	82.27	74146	466	0.51	434	0.48
E15D	91524	76922	84.05	76315	364	0.4	364	0.4
E17A	74993	57540	76.73	56534	1632	2.18	1446	1.93
E17B	39698	31758	80	31214	418	1.05	418	1.05
E17C	52394	40584	77.46	39887	858	1.64	830	1.58
E17D	18688	14214	76.06	13968	61	0.33	61	0.33
E19A	62548	51909	82.99	51439	311	0.5	311	0.5
E19B	96491	79051	81.93	78508	762	0.79	731	0.76
E19C	109705	87262	79.54	86020	1879	1.71	1704	1.55
E19D	46879	37442	79.87	37138	165	0.35	120	0.26
E20A	86810	75153	86.57	74845	95	0.11	95	0.11
E20B	107416	94287	87.78	93805	141	0.13	127	0.12
E20C	138402	122727	88.67	122407	22	0.02	22	0.02
E22A	101194	88683	87.64	88403	53	0.05	53	0.05
E22B	144055	128184	88.98	127915	0	0	0	0
E22D	78502	69001	87.9	68788	9	0.01	9	0.01
E23B	86891	71950	82.8	71644	212	0.24	206	0.24
E23C	93865	83002	88.43	82816	18	0.02	18	0.02
E23D	154959	136746	88.25	136363	74	0.05	74	0.05
E24A	135722	112620	82.98	111736	1132	0.83	1092	0.8
E24B	75745	58426	77.14	57999	323	0.43	322	0.43
E24C	86781	76488	88.14	76255	32	0.04	20	0.02
E6A	127636	109581	85.85	108854	424	0.33	421	0.33
E6B	69684	59933	86.01	59286	238	0.34	238	0.34
E6D	52666	41667	79.12	41374	213	0.4	194	0.37
L10A	77831	68652	88.21	68482	0	0	0	0
L10B	97025	85770	88.4	85528	0	0	0	0
L10C	147240	129472	87.93	129034	15	0.01	8	0.01
L10D	91473	80566	88.08	80332	25	0.03	25	0.03
L11A	90428	74050	81.89	73702	97	0.11	97	0.11
L11B	137382	121308	88.3	121027	0	0	0	0
L11C	137500	121790	88.57	121588	3	0	3	0
L11D	104055	91390	87.83	91052	58	0.06	58	0.06
L12A	144574	127770	88.38	127552	3	0	3	0
L12B	111882	99465	88.9	99272	11	0.01	11	0.01
L12C	128798	114106	88.59	113815	0	0	0	0
L12D	86194	75792	87.93	75553	29	0.03	29	0.03
L14A	117793	104645	88.84	104342	0	0	0	0
L14B	85586	75753	88.51	75464	0	0	0	0
L14C	113203	99494	87.89	99253	5	0	5	0
L14D	90326	80261	88.86	80087	4	0	4	0
L15A	102407	88112	86.04	87820	0	0	0	0
L15B	104089	87281	83.85	86996	22	0.02	22	0.02
L15C	146321	127818	87.35	127519	36	0.02	33	0.02
L17A	110582	97144	87.85	96943	0	0	0	0
L17B	109557	95577	87.24	95297	3	0	3	0
L17C	98384	86496	87.92	86319	7	0.01	7	0.01
L17D	117175	102778	87.71	102534	4	0	4	0
L19A	129456	113130	87.39	112942	2	0	2	0
L19B	90405	79196	87.6	79072	3	0	3	0
L19C	99903	87652	87.74	87432	2	0	2	0
L19D	119597	104336	87.24	104165	0	0	0	0
L20A	94262	82858	87.9	82720	0	0	0	0
L20B	120645	105740	87.65	105551	6	0	6	0
L20CD	97497	81358	83.45	81090	77	0.08	76	0.08
L22A	127934	113560	88.76	113297	14	0.01	14	0.01
L22B	71259	62311	87.44	62110	0	0	0	0
L22C	87257	75356	86.36	75155	0	0	0	0
L22D	93790	83231	88.74	82999	10	0.01	10	0.01
L23A	119613	106461	89	106275	8	0.01	8	0.01
L23D	98685	87458	88.62	87307	6	0.01	6	0.01
L24A	113095	100774	89.11	100563	3	0	3	0
L24B	86161	76631	88.94	76495	0	0	0	0
L6A	104665	91408	87.33	91244	0	0	0	0
L6B	83669	73897	88.32	73604	18	0.02	18	0.02
L6C	121031	106238	87.78	106010	0	0	0	0
L6D	88905	77487	87.16	77302	0	0	0	0
