sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
E10A	90164	61066	67.73	60876	60617	67.23	58282	64.64
E10B	62500	39306	62.89	39128	38753	62	36351	58.16
E10C	92003	60814	66.1	60628	59821	65.02	57287	62.27
E11A	78819	44212	56.09	43246	41905	53.17	39897	50.62
E11B	87696	58051	66.2	57838	57228	65.26	52288	59.62
E11C	95594	59882	62.64	59398	58501	61.2	54283	56.78
E12A	66702	46174	69.22	46077	45718	68.54	41821	62.7
E12B	99901	70141	70.21	70021	69478	69.55	63041	63.1
E12C	146858	104000	70.82	103772	102961	70.11	92377	62.9
E14A	130829	85935	65.68	85599	85087	65.04	81140	62.02
E14B	84586	55697	65.85	55567	55362	65.45	53093	62.77
E14D	80001	49576	61.97	49242	48847	61.06	47484	59.35
E15A	55934	32958	58.92	32718	32474	58.06	29985	53.61
E15C	90660	54954	60.62	54651	53998	59.56	46504	51.29
E15D	91524	57196	62.49	56775	55905	61.08	47234	51.61
E17A	74993	40991	54.66	40377	39111	52.15	35811	47.75
E17B	39698	23585	59.41	23192	22832	57.51	21853	55.05
E17C	52394	29150	55.64	28630	27756	52.98	25212	48.12
E17D	18688	10262	54.91	10154	10087	53.98	9544	51.07
E19A	62548	39011	62.37	38760	38373	61.35	36775	58.79
E19B	96491	59581	61.75	59160	58622	60.75	55130	57.13
E19C	109705	63819	58.17	63110	61887	56.41	58423	53.25
E19D	46879	27575	58.82	27363	27136	57.89	25489	54.37
E20A	86810	56733	65.35	56529	56149	64.68	53554	61.69
E20B	107416	72272	67.28	71970	71332	66.41	67613	62.94
E20C	138402	94308	68.14	94118	93733	67.73	90263	65.22
E22A	101194	67020	66.23	66826	66096	65.32	62563	61.82
E22B	144055	96964	67.31	96782	96234	66.8	90098	62.54
E22D	78502	52392	66.74	52255	51810	66	48302	61.53
E23B	86891	53432	61.49	53222	52818	60.79	49969	57.51
E23C	93865	63454	67.6	63377	62942	67.06	60294	64.23
E23D	154959	105496	68.08	105279	104460	67.41	100054	64.57
E24A	135722	83717	61.68	83032	81572	60.1	74975	55.24
E24B	75745	41544	54.85	41298	40706	53.74	35852	47.33
E24C	86781	58158	67.02	58008	57256	65.98	52416	60.4
E6A	127636	83384	65.33	82896	82389	64.55	79087	61.96
E6B	69684	45496	65.29	45062	44690	64.13	43048	61.78
E6D	52666	29798	56.58	29594	29332	55.69	26244	49.83
L10A	77831	52191	67.06	52063	51388	66.03	47063	60.47
L10B	97025	65679	67.69	65553	64464	66.44	57921	59.7
L10C	147240	98944	67.2	98682	97086	65.94	85929	58.36
L10D	91473	61377	67.1	61258	60273	65.89	53700	58.71
L11A	90428	48123	53.22	47953	47213	52.21	43729	48.36
L11B	137382	94845	69.04	94722	93455	68.03	80373	58.5
L11C	137500	92548	67.31	92363	91216	66.34	81092	58.98
L11D	104055	69927	67.2	69707	68982	66.29	62762	60.32
L12A	144574	97373	67.35	97197	96415	66.69	86447	59.79
L12B	111882	75881	67.82	75782	74998	67.03	70000	62.57
L12C	128798	87740	68.12	87541	86429	67.1	79631	61.83
L12D	86194	57628	66.86	57515	56700	65.78	52986	61.47
L14A	117793	79573	67.55	79435	78788	66.89	74232	63.02
L14B	85586	57958	67.72	57834	57140	66.76	53138	62.09
L14C	113203	74883	66.15	74719	73876	65.26	69458	61.36
L14D	90326	61067	67.61	60990	60468	66.94	57527	63.69
L15A	102407	66470	64.91	66277	65863	64.31	63244	61.76
L15B	104089	64699	62.16	64495	64041	61.53	59000	56.68
L15C	146321	95991	65.6	95843	95192	65.06	91611	62.61
L17A	110582	72521	65.58	72366	71063	64.26	63129	57.09
L17B	109557	69482	63.42	69255	67974	62.04	60546	55.26
L17C	98384	64476	65.54	64313	63399	64.44	58297	59.25
L17D	117175	75275	64.24	75169	74041	63.19	67843	57.9
L19A	129456	83924	64.83	83758	82123	63.44	73055	56.43
L19B	90405	58001	64.16	57943	57029	63.08	51597	57.07
L19C	99903	65805	65.87	65622	64694	64.76	58888	58.95
L19D	119597	77503	64.8	77383	76094	63.63	69335	57.97
L20A	94262	60942	64.65	60841	60132	63.79	56756	60.21
L20B	120645	78014	64.66	77868	76762	63.63	71974	59.66
L20CD	97497	60402	61.95	60226	59450	60.98	55402	56.82
L22A	127934	86494	67.61	86384	85483	66.82	80542	62.96
L22B	71259	43912	61.62	43732	43290	60.75	40634	57.02
L22C	87257	53606	61.43	53461	53042	60.79	48285	55.34
L22D	93790	63026	67.2	62881	62210	66.33	58302	62.16
L23A	119613	80670	67.44	80550	80048	66.92	76029	63.56
L23D	98685	66041	66.92	65958	65378	66.25	61924	62.75
L24A	113095	76849	67.95	76663	75991	67.19	72651	64.24
L24B	86161	59022	68.5	58894	58392	67.77	55832	64.8
L6A	104665	67416	64.41	67349	66352	63.39	58881	56.26
L6B	83669	56780	67.86	56643	55821	66.72	49378	59.02
L6C	121031	80976	66.91	80864	79867	65.99	74190	61.3
L6D	88905	58909	66.26	58822	58186	65.45	55122	62
