sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
E10A	90164	83312	92.4	82958	82460	91.46	79449	88.12
E10B	62500	55264	88.42	54931	54482	87.17	51487	82.38
E10C	92003	84516	91.86	84006	83434	90.69	79330	86.23
E11A	78819	66438	84.29	64436	58331	74.01	55716	70.69
E11B	87696	79892	91.1	79450	78780	89.83	71821	81.9
E11C	95594	85120	89.04	84054	81356	85.11	75350	78.82
E12A	66702	62322	93.43	62099	62018	92.98	56560	84.8
E12B	99901	93391	93.48	93096	92856	92.95	85039	85.12
E12C	146858	137222	93.44	136838	136628	93.03	124686	84.9
E14A	130829	118669	90.71	117986	117022	89.45	110719	84.63
E14B	84586	77732	91.9	77434	77037	91.08	73731	87.17
E14D	80001	72089	90.11	71211	69684	87.1	67610	84.51
E15A	55934	48295	86.34	47678	46373	82.91	42468	75.93
E15C	90660	79323	87.5	78749	76585	84.47	64357	70.99
E15D	91524	81856	89.44	81072	79518	86.88	65962	72.07
E17A	74993	62833	83.79	61604	56324	75.11	52237	69.66
E17B	39698	34371	86.58	33669	31647	79.72	30454	76.71
E17C	52394	44328	84.61	43424	40385	77.08	36408	69.49
E17D	18688	15443	82.64	15201	14850	79.46	14317	76.61
E19A	62548	55037	87.99	54462	53105	84.9	50881	81.35
E19B	96491	84333	87.4	83611	81658	84.63	77544	80.36
E19C	109705	94259	85.92	92605	88183	80.38	83661	76.26
E19D	46879	40539	86.48	40158	39339	83.92	37423	79.83
E20A	86810	79478	91.55	79029	78288	90.18	73949	85.18
E20B	107416	99187	92.34	98601	97712	90.97	92175	85.81
E20C	138402	128562	92.89	128173	127952	92.45	122487	88.5
E22A	101194	93746	92.64	93450	92933	91.84	88236	87.19
E22B	144055	134058	93.06	133786	133458	92.64	126305	87.68
E22D	78502	72723	92.64	72494	72168	91.93	68483	87.24
E23B	86891	76959	88.57	76617	75797	87.23	71786	82.62
E23C	93865	87122	92.82	86892	86575	92.23	83262	88.7
E23D	154959	143522	92.62	143039	142439	91.92	136832	88.3
E24A	135722	121626	89.61	120452	116512	85.85	106614	78.55
E24B	75745	63423	83.73	62901	61665	81.41	53522	70.66
E24C	86781	80314	92.55	80055	79833	91.99	72447	83.48
E6A	127636	115668	90.62	114758	112571	88.2	107712	84.39
E6B	69684	63281	90.81	62400	60998	87.54	58459	83.89
E6D	52666	45053	85.54	44652	42226	80.18	38074	72.29
L10A	77831	71970	92.47	71770	71671	92.09	64481	82.85
L10B	97025	90201	92.97	89977	89893	92.65	79603	82.04
L10C	147240	136254	92.54	135933	135587	92.09	117251	79.63
L10D	91473	84607	92.49	84374	84236	92.09	73883	80.77
L11A	90428	78889	87.24	78413	77768	86	71130	78.66
L11B	137382	127485	92.8	127132	126945	92.4	107506	78.25
L11C	137500	127716	92.88	127327	127163	92.48	112256	81.64
L11D	104055	96228	92.48	95833	95441	91.72	85967	82.62
L12A	144574	134486	93.02	134223	134066	92.73	120849	83.59
L12B	111882	104328	93.25	104070	103841	92.81	96105	85.9
L12C	128798	119756	92.98	119410	119218	92.56	109863	85.3
L12D	86194	80193	93.04	79908	79665	92.43	73710	85.52
L14A	117793	109555	93.01	109199	109029	92.56	102497	87.01
L14B	85586	79838	93.28	79497	79304	92.66	72753	85.01
L14C	113203	104728	92.51	104445	104231	92.07	97346	85.99
L14D	90326	84118	93.13	83894	83677	92.64	79274	87.76
L15A	102407	93059	90.87	92717	92362	90.19	88418	86.34
L15B	104089	93667	89.99	93303	92297	88.67	84489	81.17
L15C	146321	134051	91.61	133804	133563	91.28	127977	87.46
L17A	110582	101760	92.02	101501	101380	91.68	88294	79.84
L17B	109557	100338	91.59	100081	99949	91.23	86932	79.35
L17C	98384	90660	92.15	90393	90228	91.71	82549	83.9
L17D	117175	107276	91.55	107118	107043	91.35	97438	83.16
L19A	129456	119238	92.11	119023	118740	91.72	102871	79.46
L19B	90405	82882	91.68	82730	82667	91.44	73145	80.91
L19C	99903	92183	92.27	92000	91916	92.01	82120	82.2
L19D	119597	109687	91.71	109478	109182	91.29	97946	81.9
L20A	94262	86663	91.94	86494	86318	91.57	80697	85.61
L20B	120645	110687	91.75	110465	110339	91.46	102798	85.21
L20CD	97497	86344	88.56	86086	84947	87.13	79626	81.67
L22A	127934	118754	92.82	118494	118274	92.45	110827	86.63
L22B	71259	65471	91.88	65263	65120	91.38	60376	84.73
L22C	87257	79448	91.05	79247	78056	89.46	70581	80.89
L22D	93790	87130	92.9	86885	86604	92.34	79946	85.24
L23A	119613	111097	92.88	110848	110688	92.54	104954	87.74
L23D	98685	91971	93.2	91781	91686	92.91	86625	87.78
L24A	113095	105221	93.04	104958	104781	92.65	100015	88.43
L24B	86161	80459	93.38	80273	80138	93.01	76500	88.79
L6A	104665	96289	92	96050	95949	91.67	83495	79.77
L6B	83669	77612	92.76	77411	77270	92.35	67266	80.4
L6C	121031	111497	92.12	111210	111103	91.8	102468	84.66
L6D	88905	82173	92.43	81970	81778	91.98	76798	86.38
