sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
E10A	90164	53950	59.84	53785	14091	15.63	13645	15.13
E10B	62500	32119	51.39	32011	15526	24.84	14981	23.97
E10C	92003	47676	51.82	47559	14574	15.84	14194	15.43
E11A	78819	34541	43.82	34128	16985	21.55	16462	20.89
E11B	87696	45715	52.13	45539	15873	18.1	15205	17.34
E11C	95594	47754	49.96	47440	17497	18.3	16771	17.54
E12A	66702	38242	57.33	38087	9712	14.56	9202	13.8
E12B	99901	56814	56.87	56680	15884	15.9	14888	14.9
E12C	146858	84982	57.87	84826	24501	16.68	22714	15.47
E14A	130829	75581	57.77	75385	22060	16.86	21360	16.33
E14B	84586	50877	60.15	50712	12417	14.68	12010	14.2
E14D	80001	44951	56.19	44756	11813	14.77	11529	14.41
E15A	55934	28081	50.2	27911	14771	26.41	13823	24.71
E15C	90660	46705	51.52	46463	21551	23.77	19451	21.45
E15D	91524	45941	50.2	45663	13572	14.83	12795	13.98
E17A	74993	32496	43.33	32078	19123	25.5	18198	24.27
E17B	39698	17758	44.73	17572	8249	20.78	8092	20.38
E17C	52394	21711	41.44	21328	11400	21.76	11006	21.01
E17D	18688	7381	39.5	7299	6148	32.9	5963	31.91
E19A	62548	32850	52.52	32632	13455	21.51	12910	20.64
E19B	96491	48812	50.59	48521	22407	23.22	21321	22.1
E19C	109705	49256	44.9	48872	21036	19.18	20044	18.27
E19D	46879	19313	41.2	19208	12038	25.68	11548	24.63
E20A	86810	45807	52.77	45671	13053	15.04	12640	14.56
E20B	107416	60563	56.38	60355	15359	14.3	14938	13.91
E20C	138402	80801	58.38	80627	20293	14.66	19739	14.26
E22A	101194	49693	49.11	49525	11484	11.35	11094	10.96
E22B	144055	82931	57.57	82639	17455	12.12	16764	11.64
E22D	78502	40646	51.78	40554	9552	12.17	9202	11.72
E23B	86891	38924	44.8	38627	17596	20.25	16904	19.45
E23C	93865	53240	56.72	53149	14360	15.3	13890	14.8
E23D	154959	89160	57.54	88931	22907	14.78	22199	14.33
E24A	135722	59386	43.76	59055	21537	15.87	20688	15.24
E24B	75745	30169	39.83	29882	18941	25.01	17658	23.31
E24C	86781	47194	54.38	47068	11118	12.81	10614	12.23
E6A	127636	71993	56.4	71573	22662	17.76	21893	17.15
E6B	69684	39444	56.6	39238	11601	16.65	11253	16.15
E6D	52666	22975	43.62	22835	14721	27.95	13424	25.49
L10A	77831	44240	56.84	44169	8799	11.31	8640	11.1
L10B	97025	51102	52.67	50906	10477	10.8	10147	10.46
L10C	147240	77961	52.95	77781	18167	12.34	16933	11.5
L10D	91473	51181	55.95	51095	9740	10.65	9524	10.41
L11A	90428	46944	51.91	46825	11981	13.25	11646	12.88
L11B	137382	76203	55.47	75914	19315	14.06	17766	12.93
L11C	137500	75266	54.74	75057	16493	11.99	15600	11.35
L11D	104055	55776	53.6	55553	13864	13.32	13511	12.98
L12A	144574	75202	52.02	75091	18888	13.06	17653	12.21
L12B	111882	62430	55.8	62359	14236	12.72	13781	12.32
L12C	128798	69769	54.17	69492	16311	12.66	15648	12.15
L12D	86194	42884	49.75	42661	9740	11.3	9460	10.98
L14A	117793	67803	57.56	67617	15049	12.78	14540	12.34
L14B	85586	44395	51.87	44295	9692	11.32	9371	10.95
L14C	113203	58489	51.67	58264	13347	11.79	12891	11.39
L14D	90326	50949	56.41	50848	11370	12.59	11078	12.26
L15A	102407	54181	52.91	54001	16580	16.19	16095	15.72
L15B	104089	44649	42.9	44579	14224	13.67	13645	13.11
L15C	146321	86201	58.91	86028	20867	14.26	20229	13.83
L17A	110582	63189	57.14	62981	13983	12.64	13048	11.8
L17B	109557	62277	56.84	62143	12169	11.11	11565	10.56
L17C	98384	56727	57.66	56615	12106	12.3	11639	11.83
L17D	117175	69924	59.67	69810	14238	12.15	13516	11.53
L19A	129456	68925	53.24	68819	13745	10.62	13311	10.28
L19B	90405	53559	59.24	52927	8929	9.88	8757	9.69
L19C	99903	54682	54.74	54465	11052	11.06	10656	10.67
L19D	119597	66957	55.99	66766	14456	12.09	13810	11.55
L20A	94262	54889	58.23	54833	10685	11.34	10335	10.96
L20B	120645	71130	58.96	71018	14260	11.82	13657	11.32
L20CD	97497	50326	51.62	50175	19952	20.46	19100	19.59
L22A	127934	75998	59.4	75829	17638	13.79	16809	13.14
L22B	71259	39909	56.01	39783	8038	11.28	7791	10.93
L22C	87257	46435	53.22	46328	12996	14.89	11214	12.85
L22D	93790	55300	58.96	55202	12693	13.53	12176	12.98
L23A	119613	72861	60.91	72761	16099	13.46	15496	12.96
L23D	98685	52899	53.6	52838	11697	11.85	11170	11.32
L24A	113095	68900	60.92	68686	15772	13.95	15249	13.48
L24B	86161	49136	57.03	49042	11771	13.66	11384	13.21
L6A	104665	57403	54.84	57289	10780	10.3	10379	9.92
L6B	83669	46462	55.53	46387	10122	12.1	9715	11.61
L6C	121031	68185	56.34	68062	15454	12.77	14872	12.29
L6D	88905	43948	49.43	43804	10010	11.26	9718	10.93
